Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Dog,Mixed,6.4,Male,20.8,Fever,Lethargy,Lameness,Appetite_Loss,3,Yes,No,No,No,No,Yes,No,No,No,39.8°C,102,Tick-Borne Disease
Dog,Labrador,7.1,Female,28.8,Swollen_Udder,Coughing,Nasal_Discharge,Fever,3,No,No,No,Yes,No,No,No,Yes,No,38.8°C,110,Kennel Cough Variant
Cow,Hereford,6.0,Female,671.0,Lethargy,Itching,Swollen_Udder,Fever,4,No,No,No,No,No,No,No,No,No,39.8°C,67,Mastitis
Dog,Mixed,6.1,Female,40.7,Vomiting,Diarrhea,Appetite_Loss,Lethargy,1,Yes,Yes,Yes,No,No,No,No,No,No,39.2°C,114,Gastroenteritis
Cow,Jersey,3.6,Male,443.4,Lethargy,Anemia,Fever,Weight_Loss,4,No,No,No,No,No,No,No,No,No,39.5°C,57,Tick-Borne Disease
Dog,Mixed,10.1,Female,18.6,Skin_Lesions,Hair_Loss,Itching,None,2,No,No,No,No,No,No,Yes,No,No,38.7°C,82,Skin Infection
Cow,Holstein,3.9,Male,517.5,Swelling,Swollen_Udder,Fever,Decreased_Milk,3,No,No,No,No,No,No,No,No,No,40.2°C,87,Mastitis Variant
Cow,Jersey,4.3,Female,323.7,Swollen_Udder,Fever,Decreased_Milk,Lethargy,3,No,No,No,No,No,No,No,No,No,39.4°C,84,Mastitis
Dog,Labrador,3.7,Male,27.4,Coughing,Fever,Nasal_Discharge,None,2,No,No,No,Yes,No,No,No,Yes,No,38.9°C,119,Kennel Cough Variant
Cow,Friesian,4.1,Female,537.2,Lethargy,Decreased_Milk,Diarrhea,Weight_Loss,3,No,No,Yes,No,No,No,No,No,No,39.2°C,74,Johnes Disease
Cow,Holstein,7.2,Female,459.1,Eye_Discharge,Fever,Decreased_Milk,Nasal_Discharge,17,No,No,No,No,No,No,No,Yes,Yes,40.3°C,82,Bovine Respiratory Disease
Cow,Hereford,3.4,Male,504.6,Decreased_Milk,Swollen_Udder,Fever,Itching,1,No,No,No,No,No,No,No,No,No,40.4°C,74,Mastitis Variant
Cow,Mixed,0.1,Female,346.0,Fever,Drooling,Lameness,Weight_Loss,3,No,No,No,No,No,Yes,No,No,No,40.5°C,71,Foot and Mouth Disease
Cow,Mixed,6.9,Female,470.8,Nasal_Discharge,Eye_Discharge,Swelling,Coughing,1,No,No,No,Yes,No,No,No,Yes,Yes,40.2°C,83,Respiratory Disease
Cow,Holstein,3.2,Male,405.7,Diarrhea,Dehydration,Vomiting,None,5,No,Yes,Yes,No,No,No,No,No,No,39.1°C,64,Gastrointestinal Infection
Cow,Mixed,3.1,Male,465.2,Fever,Decreased_Milk,Swollen_Udder,None,4,No,No,No,No,No,No,No,No,No,39.4°C,75,Mastitis Variant
Cow,Mixed,3.2,Male,283.5,Fever,Lethargy,Decreased_Milk,Swollen_Udder,12,No,No,No,No,No,No,No,No,No,38.9°C,74,Mastitis
Cow,Angus,9.1,Male,501.9,Lethargy,Fever,Anemia,None,1,No,No,No,No,No,No,No,No,No,39.0°C,73,Tick-Borne Disease
Cow,Jersey,8.4,Female,337.8,Decreased_Milk,Swollen_Udder,Fever,Lethargy,1,No,No,No,No,No,No,No,No,No,39.9°C,62,Mastitis
Cow,Friesian,7.4,Male,416.6,Eye_Discharge,Nasal_Discharge,Coughing,None,1,No,No,No,Yes,No,No,No,Yes,Yes,39.2°C,73,Respiratory Disease
Dog,Labrador,11.4,Female,27.3,Swelling,Lethargy,Pain,Lameness,2,No,No,No,No,No,Yes,No,No,No,38.3°C,105,Arthritis
Cow,Holstein,4.0,Female,428.0,Decreased_Milk,Weight_Loss,Diarrhea,Lethargy,20,No,No,Yes,No,No,No,No,No,No,38.6°C,73,Johnes Disease
Cow,Angus,8.2,Female,564.7,Fever,Swollen_Udder,Decreased_Milk,Lethargy,4,No,No,No,No,No,No,No,No,No,39.6°C,64,Mastitis
Cow,Mixed,8.9,Female,398.0,Decreased_Milk,Fever,Swollen_Udder,Lethargy,3,No,No,No,No,No,No,No,No,No,39.8°C,62,Mastitis
Dog,Mixed,6.5,Female,28.6,Swelling,Pain,Lameness,Lethargy,4,No,No,No,No,No,Yes,No,No,No,38.1°C,92,Arthritis
Cow,Hereford,6.3,Male,394.9,Diarrhea,Vomiting,Dehydration,None,3,No,Yes,Yes,No,No,No,No,No,No,39.7°C,64,Gastrointestinal Infection
Dog,Mixed,12.0,Female,21.4,Hair_Loss,Skin_Lesions,Swollen_Udder,Itching,1,No,No,No,No,No,No,Yes,No,No,38.2°C,103,Skin Infection
Cow,Jersey,5.0,Male,392.0,Fever,Eye_Discharge,Coughing,Nasal_Discharge,1,No,No,No,Yes,No,No,No,Yes,Yes,39.6°C,76,Bovine Respiratory Disease
Dog,Bulldog,6.0,Male,40.8,Lethargy,Jaundice,Appetite_Loss,Vomiting,2,Yes,Yes,No,No,No,No,No,No,No,40.3°C,111,Canine Leptospirosis
Cow,Holstein,8.2,Male,461.1,Fever,Decreased_Milk,Swollen_Udder,None,2,No,No,No,No,No,No,No,No,No,39.2°C,80,Mastitis Variant
Dog,Mixed,5.3,Female,30.8,Fever,Lethargy,Lameness,Appetite_Loss,2,Yes,No,No,No,No,Yes,No,No,No,39.7°C,102,Lyme Disease
Dog,Poodle,4.7,Female,24.4,Hair_Loss,Skin_Lesions,Itching,None,4,No,No,No,No,No,No,Yes,No,No,38.8°C,89,Skin Infection
Cow,Hereford,2.4,Male,535.3,Nasal_Discharge,Fever,Coughing,Eye_Discharge,5,No,No,No,Yes,No,No,No,Yes,Yes,39.0°C,82,Bovine Respiratory Disease
Dog,Mixed,3.7,Female,46.8,Appetite_Loss,Vomiting,Diarrhea,Lethargy,2,Yes,Yes,Yes,No,No,No,No,No,No,39.6°C,124,Parvovirus
Dog,German Shepherd,4.4,Male,33.4,Fever,Lameness,Appetite_Loss,Lethargy,14,Yes,No,No,No,No,Yes,No,No,No,39.3°C,121,Tick-Borne Disease
Dog,Labrador,4.5,Female,34.3,Nasal_Discharge,Lethargy,Dehydration,Vomiting,3,No,Yes,No,No,No,No,No,Yes,No,39.8°C,119,Canine Hepatitis
Dog,Labrador,6.0,Male,26.7,Lethargy,Coughing,Nasal_Discharge,Eye_Discharge,3,No,No,No,Yes,No,No,No,Yes,Yes,39.5°C,103,Kennel Cough
Dog,Poodle,5.3,Male,24.1,Diarrhea,Lethargy,Appetite_Loss,Vomiting,6,Yes,Yes,Yes,No,No,No,No,No,No,39.0°C,104,Gastroenteritis
Cow,Angus,5.8,Male,446.3,Vomiting,Dehydration,Diarrhea,None,2,No,Yes,Yes,No,No,No,No,No,No,39.1°C,72,Gastrointestinal Infection
Cow,Mixed,6.7,Male,492.2,Coughing,Fever,Nasal_Discharge,Labored_Breathing,1,No,No,No,Yes,No,No,No,Yes,No,39.9°C,79,Bovine Respiratory Syncytial Virus
Dog,Mixed,0.7,Male,36.4,Nasal_Discharge,Eye_Discharge,Skin_Lesions,Coughing,8,No,No,No,Yes,No,No,Yes,Yes,Yes,39.9°C,126,Canine Distemper
Dog,German Shepherd,4.1,Male,41.9,Diarrhea,Vomiting,Appetite_Loss,Lethargy,3,Yes,Yes,Yes,No,No,No,No,No,No,39.5°C,125,Parvovirus
Cow,Holstein,8.7,Female,502.0,Fever,Lethargy,Weight_Loss,Coughing,4,No,No,No,Yes,No,No,No,No,No,39.0°C,60,Bovine Tuberculosis
Dog,German Shepherd,8.1,Male,29.2,Fever,Appetite_Loss,Lameness,Swelling,1,Yes,No,No,No,No,Yes,No,No,No,39.9°C,117,Tick-Borne Disease
Cow,Hereford,9.5,Male,343.0,Fever,Eye_Discharge,Nasal_Discharge,Lethargy,2,No,No,No,No,No,No,No,Yes,Yes,40.1°C,78,Bovine Respiratory Disease
Dog,Bulldog,1.7,Male,37.3,Diarrhea,Lethargy,Vomiting,Appetite_Loss,3,Yes,Yes,Yes,No,No,No,No,No,No,40.1°C,135,Parvovirus
Cow,Holstein,7.1,Female,500.2,Weight_Loss,Lameness,Fever,Fever,4,No,No,No,No,No,Yes,No,No,No,40.3°C,86,Foot and Mouth Disease
Dog,German Shepherd,10.6,Male,25.0,Eye_Discharge,Nasal_Discharge,Coughing,Lethargy,1,No,No,No,Yes,No,No,No,Yes,Yes,39.4°C,113,Kennel Cough
Dog,Labrador,0.1,Male,21.3,Lameness,Lethargy,Fever,Appetite_Loss,3,Yes,No,No,No,No,Yes,No,No,No,38.9°C,100,Lyme Disease
Cow,Jersey,6.2,Female,459.4,Coughing,Eye_Discharge,Nasal_Discharge,Fever,1,No,No,No,Yes,No,No,No,Yes,Yes,39.9°C,81,Bovine Respiratory Disease
Cow,Mixed,5.6,Male,383.3,Dehydration,Lethargy,Fever,Diarrhea,6,No,No,Yes,No,No,No,No,No,No,39.9°C,87,Salmonellosis
Dog,Bulldog,1.3,Male,28.9,Jaundice,Appetite_Loss,Vomiting,Lethargy,1,Yes,Yes,No,No,No,No,No,No,No,40.8°C,119,Canine Leptospirosis
Dog,Beagle,1.3,Female,26.0,Lameness,Appetite_Loss,Fever,Lethargy,5,Yes,No,No,No,No,Yes,No,No,No,39.5°C,92,Lyme Disease
Dog,Beagle,8.8,Male,35.6,Lameness,Swelling,Lethargy,Pain,3,No,No,No,No,No,Yes,No,No,No,38.6°C,87,Arthritis
Dog,Labrador,4.8,Male,29.2,Lameness,Appetite_Loss,Fever,Lethargy,3,Yes,No,No,No,No,Yes,No,No,No,39.3°C,109,Tick-Borne Disease
Dog,Bulldog,6.1,Male,35.7,Coughing,Nasal_Discharge,Lethargy,Eye_Discharge,1,No,No,No,Yes,No,No,No,Yes,Yes,39.3°C,107,Kennel Cough
Dog,Beagle,5.6,Female,45.2,Swollen_Udder,Pain,Lethargy,Lameness,5,No,No,No,No,No,Yes,No,No,No,37.8°C,96,Arthritis
Dog,Bulldog,1.7,Male,8.5,Coughing,Nasal_Discharge,Fever,None,3,No,No,No,Yes,No,No,No,Yes,No,39.6°C,110,Kennel Cough Variant
Dog,German Shepherd,6.5,Male,17.5,Nasal_Discharge,Coughing,Eye_Discharge,Skin_Lesions,1,No,No,No,Yes,No,No,Yes,Yes,Yes,40.0°C,110,Canine Distemper
Cow,Jersey,6.7,Male,388.8,Coughing,Fever,Nasal_Discharge,Labored_Breathing,2,No,No,No,Yes,No,No,No,Yes,No,39.3°C,84,Bovine Respiratory Syncytial Virus
Dog,Beagle,4.8,Female,32.4,Fever,Weight_Loss,Vomiting,Lethargy,2,No,Yes,No,No,No,No,No,No,No,39.6°C,117,Canine Hepatitis
Dog,Bulldog,5.0,Female,31.8,Weight_Loss,Diarrhea,Appetite_Loss,None,2,Yes,No,Yes,No,No,No,No,No,No,39.7°C,103,Parasitic Gastroenteritis
Dog,Mixed,3.6,Female,32.0,Nasal_Discharge,Coughing,Fever,None,1,No,No,No,Yes,No,No,No,Yes,No,39.1°C,114,Kennel Cough Variant
Dog,German Shepherd,4.4,Male,39.8,Lethargy,Appetite_Loss,Vomiting,Jaundice,6,Yes,Yes,No,No,No,No,No,No,No,39.7°C,117,Canine Leptospirosis
Dog,Labrador,6.8,Male,41.1,Diarrhea,Weight_Loss,Appetite_Loss,None,6,Yes,No,Yes,No,No,No,No,No,No,38.7°C,105,Parasitic Gastroenteritis
Cow,Hereford,5.3,Male,572.1,Diarrhea,Weight_Loss,Lethargy,Fever,1,No,No,Yes,No,No,No,No,No,No,39.8°C,62,Bovine Coccidiosis
