Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Dog,Shih Tzu,1.3,Female,3.2,Skin Lesions,Diarrhea,Vomiting,Anorexia,10 days,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,38.5°C,97.0,Canine Distemper
Dog,Corgi,4.7,Female,9.1,Lethargy,Diarrhea,Neurological Signs,Lameness,17 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.4°C,130.0,Tick-Borne Disease
Dog,Bulldog,8.8,Female,15.5,Eye Discharge,Fever,Dehydration,Coughing,2 days,No,No,No,No,No,Yes,No,No,No,38.3°C,90.0,Lyme Disease
Cow,Sahiwal,3.1,Male,546.23,Coughing,Nasal Discharge,Fever,Labored Breathing,5 days,Yes,No,No,Yes,Yes,No,No,Yes,No,40.1°C,84.36,Foot and Mouth Disease
Cow,Shorthorn,0.5,Male,520.1,Weakness,Diarrhea,Skin Lesions,Nasal Discharge,3 days,Yes,No,No,Yes,No,No,No,Yes,No,40.2°C,125.0,Respiratory Disease
Dog,Poodle,3.78,Female,19.01,Nasal Discharge,<missing>,Reduced Appetite,Lethargy,21 days,Yes,No,No,No,No,No,No,Yes,Yes,40.6°C,86.33,Canine Influenza
Dog,Cocker Spaniel,1.7,Female,35.6,Nasal Discharge,Diarrhea,Weakness,Appetite Loss,19 hours,Yes,Yes,Yes,No,No,No,No,No,No,38.4°C,97.0,Gastroenteritis
Dog,Shih Tzu,1.6,Female,4.8,Eye Discharge,Lethargy,Vomiting,Coughing,6 weeks,No,Yes,Yes,No,No,No,No,No,No,38.4°C,60.0,Gastroenteritis
Cow,Gir,9.58,Male,620.26,Vomiting,Coughing,Lameness,Fever,13 days,No,No,Yes,No,No,No,No,Yes,No,38.3°C,83.19,Bovine Viral Diarrhea
Cow,Dexter,5.1,Female,598.7,Fever,Weakness,Diarrhea,Vomiting,17 hours,Yes,No,Yes,Yes,Yes,No,No,No,No,39.5°C,76.0,Bovine Viral Diarrhea
Cow,Ayrshire,11.8,Female,414.0,Nasal Discharge,Dehydration,Rumen Issues,Eye Discharge,12 days,Yes,No,No,No,No,Yes,No,No,No,39.3°C,64.0,Foot and Mouth Disease
Cow,Jersey,8.8,Male,182.5,Coughing,Fever,Nasal Discharge,Lethargy,20 days,Yes,Yes,No,No,No,No,,,,40.7,97.0,Bovine Respiratory Disease
Cow,Red Poll,7.4,Male,531.1,Lameness,Anorexia,Fever,Eye Discharge,8 days,No,No,No,No,No,Yes,No,No,No,39.4°C,64.0,Mastitis
Dog,Golden Retriever,7.0,Male,30.0,Vomiting,Diarrhea,Loss Of Appetite,Lethargy,6 days,Yes,No,Yes,Yes,No,No,Yes,No,No,39.5°C,118.0,Canine Parvovirus
Dog,Dachshund,3.1,Female,8.5,Weakness,Lameness,Loss Of Appetite,Nasal Discharge,11 days,Yes,No,No,No,No,Yes,No,No,No,38.7°C,75.0,Lyme Disease
Cow,Charolais,3.9,Male,496.6,Vomiting,Respiratory Signs,Nasal Discharge,Diarrhea,12 days,No,No,Yes,No,No,No,No,Yes,Yes,39.1°C,70.0,Bovine Viral Diarrhea
Cow,Brahman,4.72,Female,438.22,Lameness,Weakness,Labored Breathing,<missing>,11 days,No,No,Yes,No,No,No,No,No,No,38.5°C,74.62,Bovine Viral Diarrhea
Cow,Sahiwal,1.09,Male,621.33,Coughing,Labored Breathing,Nasal Discharge,Anorexia,6 days,Yes,No,No,Yes,No,No,Yes,No,No,39.1°C,54.18,Foot and Mouth Disease
Dog,Beagle,0.99,Male,2.99,Diarrhea,<missing>,Fever,Lethargy,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.4°C,125.63,Parvovirus
Dog,Chihuahua,1.0,Male,3.0,Vomiting,Diarrhea,Lethargy,Fever,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.4°C,135.0,Parvovirus
Dog,Bulldog,7.15,Male,34.48,Stiffness,Reluctance To Play,Joint Pain,Limping,2 weeks,No,No,No,No,No,Yes,No,No,No,38.8°C,86.64,Arthritis
Cow,Angus,1.14,Female,682.46,Coughing,Labored Breathing,Fever,Coughing,1 days,No,No,No,Yes,Yes,No,No,No,No,40.1°C,84.41,Respiratory Disease
Dog,Poodle,0.9,Female,-0.9,Lameness,Vomiting,Fever,Lethargy,6 weeks,Yes,Yes,Yes,No,No,No,No,No,No,39.6°C,139.0,Parvovirus
Cow,Shorthorn,1.17,Female,496.35,Loss Of Appetite,Abdominal Pain,Bloody Feces,Dehydration,6 days,Yes,No,Yes,No,No,No,No,No,No,39.2°C,69.79,Bovine Coccidiosis
Dog,Golden Retriever,8.1,Male,28.3,Fever,Weakness,Labored Breathing,Nasal_Discharge,3 days,Yes,No,No,Yes,Yes,No,No,Yes,Yes,38.3°C,118.0,Kennel Cough
Dog,Dalmatian,4.61,Female,27.22,Nasal Discharge,Dehydration,Anorexia,Eye_Discharge,13 days,No,No,No,Yes,Yes,No,No,Yes,No,39.1°C,84.19,Kennel Cough
Dog,Corgi,1.2,Female,7.4,Coughing,Fever,Nasal Discharge,Eye_Discharge,6 days,Yes,Yes,No,No,Yes,No,No,Yes,Yes,39.7°C,87.0,Canine Distemper
Dog,Poodle,4.29,Female,18.95,Diarrhea,Fever,Coughing,Labored Breathing,11 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,38.5°C,99.29,Kennel Cough
Dog,Golden Retriever,6.0,Female,20.7,Fever,Vomiting,Abdominal Pain,Jaundice,11 days,No,Yes,Yes,No,No,Yes,,,,40.4,113.0,Canine Hepatitis
Cow,Brown Swiss,8.0,Male,520.4,Vomiting,Fever,Nasal Discharge,Eye Discharge,1 days,No,No,No,Yes,No,No,No,No,No,38.6°C,64.0,Respiratory Disease
Dog,Labrador Retriever,0.48,Male,22.75,Fever,Labored Breathing,Coughing,Diarrhea,9 days,No,Yes,No,No,No,No,No,No,No,38.9°C,133.75,Gastroenteritis
Cow,Belted Galloway,11.1,Female,572.5,Nasal Discharge,Skin Lesions,Nasal Discharge,Diarrhea,4 days,Yes,No,No,Yes,No,No,No,No,No,40.0°C,63.0,Respiratory Disease
Cow,Dexter,7.8,Male,561.0,Weakness,Nasal Discharge,Eye Discharge,Fever,2 days,Yes,No,No,No,No,No,No,Yes,Yes,40.5°C,77.0,Respiratory Disease
Dog,Bulldog,0.5,Male,14.8,Nasal Discharge,Skin Lesions,Eye Discharge,Anorexia,9 days,Yes,No,No,Yes,Yes,No,Yes,No,No,39.8°C,127.0,Canine Distemper
Dog,Siberian Husky,0.2,Male,34.2,Weakness,Fever,Lethargy,Nasal Discharge,3 weeks,Yes,Yes,Yes,No,No,No,No,No,No,39.5°C,144.0,Parvovirus
Dog,German Shepherd,3.2,Female,20.6,Fever,Nasal Discharge,Weakness,Lethargy,13 days,Yes,No,No,No,No,Yes,No,No,No,38.6°C,83.0,Lyme Disease
Dog,Golden Retriever,5.0,Male,32.0,Vomiting,Diarrhea,Loss Of Appetite,Lethargy,3 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.2°C,130.0,Gastroenteritis
Cow,Red Poll,1.5,Female,574.0,Reduced Milk Production,Loss Of Appetite,Abdominal Pain,Diarrhea,8 days,Yes,No,Yes,No,No,No,No,No,No,40.1°C,66.0,Bovine Coccidiosis
Cow,Angus,8.1,Male,47.4,Weight Loss,Diarrhea,Weakness,Poor Appetite,11 days,Yes,No,Yes,No,No,Yes,,,,38.1,71.0,Johnes Disease
Cow,Ayrshire,1.81,Male,492.65,Coughing,Lameness,Lameness,<missing>,4 days,Yes,No,No,No,No,Yes,Yes,No,No,40.1°C,81.71,Foot and Mouth Disease
Cow,Dexter,1.4,Female,700.43,Weakness,Dehydration,Loss Of Appetite,<missing>,12 days,Yes,No,Yes,No,No,No,No,No,No,39.7°C,68.54,Bovine Coccidiosis
Cow,Aberdeen Angus,9.3,Female,556.1,Nasal Discharge,Weakness,Dehydration,Lameness,9 days,No,No,No,Yes,Yes,No,No,Yes,No,39.5°C,82.0,Respiratory Disease
Cow,Jersey,2.46,Male,778.37,Weight Loss,Fever,Anorexia,Labored Breathing,13 days,Yes,No,No,No,No,No,No,No,No,38.6°C,78.06,Parasitic Infection
Dog,Poodle,6.04,Male,41.74,Fever,Jaundice,Abdominal Pain,Vomiting,7 days,No,No,No,No,Yes,Yes,,,,42.62,102.46,Canine Hepatitis
Dog,Rottweiler,2.85,Male,4.96,Vomiting,Weakness,Diarrhea,Fever,10 days,Yes,No,No,Yes,No,No,No,Yes,No,38.4°C,67.51,Kennel Cough
Cow,Sahiwal,9.2,Male,191.98,Fever,<missing>,Coughing,Lethargy,20 days,Yes,Yes,No,No,No,No,,,,38.1,96.24,Bovine Respiratory Disease
Dog,Rottweiler,7.0,Male,35.0,Coughing,Loss Of Appetite,Lethargy,Fever,4 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,39.3°C,110.0,Kennel Cough
Dog,Poodle,7.2,Male,14.7,Eye_Discharge,Coughing,Diarrhea,Eye Discharge,14 days,Yes,Yes,No,Yes,No,No,No,Yes,Yes,39.6°C,60.0,Canine Distemper
Dog,Corgi,0.09,Female,39.04,Fever,Coughing,Eye Discharge,Fever,5 weeks,Yes,No,Yes,No,No,No,No,No,No,39.4°C,125.8,Parvovirus
Dog,Siberian Husky,7.09,Female,39.33,Nasal Discharge,<missing>,Vomiting,Skin Lesions,7 days,Yes,Yes,No,Yes,Yes,No,No,Yes,No,39.6°C,96.33,Canine Distemper
Dog,Labrador,1.37,Male,27.16,Coughing,Loss Of Appetite,Skin Lesions,Lethargy,10 days,Yes,No,No,No,No,Yes,No,No,No,38.6°C,73.22,Lyme Disease
Dog,Boxer,3.09,Male,28.03,Vomiting,Lethargy,<missing>,Fever,4 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,39.3°C,117.63,Canine Infectious Hepatitis
Cow,Red Poll,3.23,Male,640.09,Fever,Coughing,Nasal Discharge,Labored Breathing,5 days,Yes,No,No,Yes,Yes,No,No,Yes,No,40.1°C,86.22,Foot and Mouth Disease
Cow,Dexter,8.12,Female,454.76,Coughing,Anorexia,Labored Breathing,<missing>,13 days,No,No,No,No,No,No,No,No,No,38.7°C,72.42,Parasitic Infection
Dog,German Shepherd,0.6,Female,33.6,Diarrhea,Anorexia,Skin Lesions,Dehydration,14 hours,No,Yes,No,Yes,No,No,No,Yes,Yes,39.0°C,157.0,Kennel Cough
Cow,Red Angus,8.66,Female,593.44,<missing>,Weakness,Lameness,Skin Lesions,5 days,No,Yes,Yes,No,No,No,No,No,No,39.0°C,70.79,Parasitic Infection
Cow,Jersey,8.94,Female,627.33,Nasal Discharge,Fever,Labored Breathing,Dehydration,12 days,No,No,No,Yes,No,No,No,Yes,No,38.5°C,59.41,Respiratory Disease
Dog,Shih Tzu,0.2,Female,2.5,Vomiting,Nasal Discharge,Coughing,Fever,16 hours,Yes,Yes,Yes,No,No,No,No,No,No,40.2°C,121.0,Parvovirus
Dog,Beagle,0.37,Female,80.81,Skin Lesions,Labored Breathing,Anorexia,Coughing,11 days,Yes,No,Yes,No,No,No,No,No,No,39.8°C,163.18,Parvovirus
Cow,Gir,5.8,Male,220.5,Fever,Coughing,Labored Breathing,Nasal Discharge,16 days,No,No,No,No,No,No,,,,40.7,105.0,Bovine Respiratory Syncytial Virus
Dog,Pug,0.39,Female,34.8,Fever,Dehydration,Eye_Discharge,<missing>,12 hours,No,No,No,Yes,No,No,No,No,No,39.5°C,152.73,Kennel Cough
Dog,Bulldog,3.16,Male,37.54,Nasal_Discharge,Coughing,Coughing,Skin Lesions,7 days,No,No,Yes,Yes,Yes,No,No,Yes,No,38.3°C,68.32,Kennel Cough
Dog,Dalmatian,6.3,Female,37.2,Lameness,Dehydration,Weakness,Skin Lesions,14 days,Yes,No,No,No,No,Yes,No,No,No,38.7°C,98.0,Lyme Disease
Dog,Dalmatian,0.5,Female,16.9,Vomiting,Swollen Lymph Nodes,Pale Gums,Loss Of Appetite,12 days,Yes,Yes,No,No,No,Yes,No,No,No,39.6°C,129.0,Tick-Borne Disease
Dog,Beagle,6.6,Male,20.95,Labored Breathing,Anorexia,Skin Lesions,<missing>,9 hours,No,No,No,Yes,No,No,No,Yes,No,39.4°C,75.13,Kennel Cough
Cow,Sahiwal,8.0,Male,213.3,Weight Loss,Diarrhea,Weakness,Poor Appetite,5 days,Yes,Yes,No,No,No,No,,,,38.7,75.0,Johnes Disease
Cow,Aberdeen Angus,5.22,Male,593.54,Diarrhea,Weight Loss,Poor Appetite,Weakness,13 days,Yes,No,Yes,Yes,No,No,,,,35.99,66.01,Johnes Disease
Dog,Bulldog,4.1,Female,9.9,Nasal_Discharge,Fever,Diarrhea,Dehydration,11 days,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,39.5°C,89.0,Canine Distemper
Dog,Labrador Retriever,3.7,Male,8.36,Fever,Lethargy,Vomiting,Loss Of Appetite,4 days,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,39.2°C,114.68,Parvovirus
Dog,Pit Bull,2.12,Female,29.89,Nasal Discharge,Lameness,Nasal_Discharge,<missing>,7 weeks,No,No,No,Yes,Yes,No,No,No,No,39.2°C,87.85,Kennel Cough
Cow,Dexter,6.5,Female,544.1,Diarrhea,Nasal Discharge,Weight Loss,Coughing,10 days,Yes,Yes,Yes,No,No,No,No,No,No,39.0°C,80.0,Parasitic Infection
Cow,Belted Galloway,10.13,Male,407.05,Vomiting,<missing>,Anorexia,Diarrhea,4 weeks,No,No,Yes,No,No,No,No,No,No,39.4°C,72.11,Parasitic Infection
Cow,Red Angus,1.59,Male,495.38,<missing>,Skin Lesions,Fever,Fever,14 days,Yes,No,No,No,No,Yes,Yes,No,No,39.8°C,65.64,Foot and Mouth Disease
Cow,Jersey,6.0,Male,620.0,Weight Loss,Reduced Milk Production,Lethargy,Appetite Loss,7 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.4°C,87.0,Tuberculosis
Dog,Dachshund,3.0,Female,34.9,Eye Discharge,Coughing,Lameness,Labored Breathing,19 hours,No,No,No,No,No,Yes,No,No,No,38.6°C,66.0,Lyme Disease
Cow,Sahiwal,2.01,Male,650.01,Coughing,Reduced Appetite,Labored Breathing,<missing>,3 weeks,No,No,No,No,No,No,No,No,No,39.1°C,53.32,Mastitis
Dog,Chihuahua,6.6,Male,14.3,Limping,Difficulty Rising,Change In Gait,Joint Pain,8 days,Yes,No,No,No,No,Yes,No,No,No,38.8°C,72.0,Arthritis
Cow,Belted Galloway,9.7,Male,603.0,Coughing,Vomiting,Lameness,Fever,13 days,No,No,Yes,No,No,No,No,Yes,No,38.3°C,83.0,Bovine Viral Diarrhea
Cow,Simmental,8.08,Female,639.96,Respiratory Signs,Nasal Discharge,Diarrhea,<missing>,6 days,No,No,Yes,No,Yes,No,No,No,Yes,39.5°C,61.14,Bovine Viral Diarrhea
Cow,Hereford,3.7,Female,561.0,Reduced Appetite,Labored Breathing,Fever,Weakness,3 days,No,No,No,No,No,No,No,No,No,39.6°C,78.0,Mastitis
Dog,Bulldog,3.0,Female,25.0,Lethargy,Vomiting,Loss Of Appetite,Fever,4 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.2°C,125.0,Canine Leptospirosis
Cow,Ayrshire,8.57,Female,539.79,Vomiting,Eye Discharge,Lameness,Coughing,4 weeks,Yes,No,No,Yes,No,No,No,Yes,Yes,40.3°C,62.38,Respiratory Disease
Dog,Golden Retriever,2.85,Male,40.87,Anorexia,Lameness,Eye Discharge,Diarrhea,11 days,No,No,Yes,No,Yes,No,No,No,No,38.2°C,72.3,Gastroenteritis
Dog,Siberian Husky,0.5,Female,23.9,Labored Breathing,Diarrhea,Coughing,Fever,9 days,No,Yes,No,No,No,No,No,No,No,38.9°C,146.0,Gastroenteritis
Dog,Husky,9.02,Female,29.34,Vomiting,Abdominal Pain,Fever,Jaundice,16 days,Yes,Yes,No,No,No,No,,,,38.46,80.41,Canine Hepatitis
Cow,Sahiwal,9.29,Female,260.97,Poor Appetite,Weakness,Diarrhea,Weight Loss,10 days,Yes,No,No,Yes,Yes,No,,,,35.53,66.11,Johnes Disease
Dog,Doberman Pinscher,2.5,Male,24.3,Anorexia,Fever,Eye Discharge,Skin Lesions,3 days,Yes,No,No,No,No,Yes,No,No,No,39.0°C,117.0,Lyme Disease
Cow,Dexter,10.22,Male,667.11,Nasal Discharge,Dehydration,Coughing,Anorexia,11 days,Yes,No,No,No,Yes,Yes,No,Yes,Yes,38.4°C,69.76,Respiratory Disease
Dog,Labrador,4.0,Male,25.0,Fever,Lethargy,Appetite Loss,Vomiting,3 days,Yes,Yes,No,No,No,No,No,No,No,39.5°C,120.0,Parvovirus
Dog,Pit Bull,0.9,Female,24.8,Anorexia,Vomiting,Eye Discharge,Diarrhea,5 days,Yes,Yes,Yes,No,Yes,No,No,No,No,39.1°C,145.0,Parvovirus
Cow,Holstein,3.5,Male,561.2,Weight Loss,Diarrhea,Weakness,Poor Appetite,17 days,Yes,Yes,No,Yes,No,Yes,,,,39,67.0,Johnes Disease
Cow,Angus,8.4,Male,441.24,Skin Lesions,Diarrhea,Fever,Nasal Discharge,1 days,Yes,No,No,No,No,Yes,Yes,No,No,40.6°C,53.37,Foot and Mouth Disease
Dog,Beagle,7.63,Male,18.52,Eye Discharge,<missing>,Vomiting,Anorexia,2 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,40.3°C,112.97,Canine Distemper
Cow,Sahiwal,9.7,Female,417.5,Fever,Coughing,Labored Breathing,Nasal Discharge,10 days,Yes,No,Yes,No,No,Yes,,,,41.1,77.0,Bovine Respiratory Syncytial Virus
Cow,Brahman,6.2,Male,534.3,Vomiting,Coughing,Dehydration,Weakness,13 days,No,No,Yes,No,No,No,No,No,No,39.1°C,68.0,Parasitic Infection
Cow,Limousin,7.56,Male,540.52,Labored Breathing,Lameness,Diarrhea,Coughing,13 days,No,No,Yes,Yes,No,No,No,Yes,No,40.7°C,77.54,Bovine Viral Diarrhea
Cow,Hereford,1.0,Female,538.0,Loss Of Appetite,Weakness,Bloody Feces,Dehydration,14 days,Yes,No,Yes,No,No,No,No,No,No,39.3°C,72.0,Bovine Coccidiosis
Cow,Angus,7.2,Female,600.51,Diarrhea,<missing>,Weakness,Weight Loss,6 days,No,Yes,Yes,No,No,No,,,,38.73,68.43,Johnes Disease
Cow,Charolais,10.08,Male,632.22,Fever,Vomiting,Lameness,Coughing,13 days,No,No,Yes,No,No,No,No,Yes,No,38.3°C,82.69,Bovine Viral Diarrhea
Cow,Dexter,5.2,Male,598.4,Diarrhea,Skin Lesions,Labored Breathing,Nasal Discharge,13 hours,No,No,Yes,No,No,No,No,No,No,40.2°C,80.0,Bovine Viral Diarrhea
Cow,Jersey,6.4,Male,564.8,Anorexia,Nasal Discharge,Dehydration,Coughing,14 days,Yes,No,Yes,No,No,Yes,No,No,No,39.5°C,48.0,Foot and Mouth Disease
Dog,Golden Retriever,0.4,Female,17.5,Anorexia,Lethargy,Dehydration,Vomiting,4 weeks,Yes,Yes,Yes,No,No,No,No,No,No,39.5°C,155.0,Parvovirus
Dog,Bulldog,0.77,Female,20.43,Labored Breathing,Weakness,Vomiting,Lameness,3 weeks,Yes,Yes,Yes,No,No,No,No,No,No,39.7°C,154.16,Parvovirus
Dog,Golden Retriever,2.7,Male,31.0,Fever,Vomiting,Diarrhea,Jaundice,20 days,Yes,No,No,No,No,No,,,,39.5,103.0,Canine Leptospirosis
Cow,Shorthorn,2.83,Male,647.59,Labored Breathing,Weight Loss,Anorexia,Fever,13 days,Yes,No,No,No,No,No,No,No,No,38.6°C,74.08,Parasitic Infection
Cow,Holstein,4.88,Male,195.63,Weakness,Diarrhea,<missing>,Poor Appetite,15 days,No,Yes,Yes,No,No,No,,,,34.99,75.39,Johnes Disease
Dog,Doberman Pinscher,2.5,Male,8.8,Coughing,Anorexia,Nasal_Discharge,Coughing,13 hours,No,Yes,Yes,Yes,Yes,No,No,No,Yes,39.8°C,72.0,Canine Distemper
Dog,Dalmatian,0.9,Female,24.2,Labored Breathing,Loss Of Appetite,Lethargy,Skin Lesions,11 days,Yes,Yes,No,No,No,Yes,No,No,No,38.8°C,124.0,Lyme Disease
Cow,Angus,2.1,Male,670.1,Labored Breathing,Coughing,Dehydration,Reduced Appetite,3 weeks,No,No,No,No,No,No,No,No,No,39.1°C,49.0,Mastitis
Cow,Gir,8.92,Male,80.92,Labored Breathing,Nasal Discharge,Fever,Coughing,7 days,No,Yes,No,Yes,No,No,,,,41.45,74.08,Bovine Respiratory Syncytial Virus
Dog,Poodle,7.0,Female,15.7,Diarrhea,Fever,Dehydration,Nasal Discharge,13 days,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,40.2°C,70.0,Canine Distemper
Dog,Pit Bull,9.97,Female,67.97,Nasal Discharge,Fever,Lethargy,Labored Breathing,19 hours,Yes,No,No,No,No,Yes,No,No,No,39.3°C,97.11,Lyme Disease
Dog,Boxer,1.01,Female,10.86,Appetite Loss,Lethargy,Vomiting,Diarrhea,2 days,Yes,Yes,Yes,No,No,No,No,No,No,39.2°C,118.52,Gastroenteritis
Cow,Jersey,9.0,Female,204.0,Weight Loss,Diarrhea,Weakness,Poor Appetite,12 days,Yes,No,Yes,No,No,No,,,,38.3,63.0,Johnes Disease
Dog,Rottweiler,6.83,Female,33.33,Diarrhea,Weakness,Fever,Dehydration,12 days,Yes,No,Yes,No,No,No,,,,38.89,103.42,Salmonellosis
Dog,Poodle,5.23,Female,6.76,Abdominal Pain,Jaundice,Vomiting,Fever,2 days,Yes,No,Yes,Yes,No,No,,,,43.82,85.02,Canine Hepatitis
Cow,Belted Galloway,1.32,Male,587.54,Diarrhea,Lameness,Vomiting,Weakness,10 hours,No,No,No,No,No,No,Yes,No,No,38.9°C,65.42,Parasitic Infection
