Age,Weight,Breed,Gender,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease
7.0,3.6,Indian Domestic,Female,bloated abdomen,diarrhea,weight loss,none,5,no,no,yes,no,no,no,no,no,no,38.7,188,worm infestation
9.0,6.7,Maine Coon,Female,dry gums,hair loss,itching,lethargy,4,no,no,no,no,no,no,yes,no,yes,38.2,194,dehydration
15.0,6.6,Maine Coon,Male,blood in urine,frequent urination,none,none,3,no,no,no,no,no,no,no,no,no,38.4,173,urinary tract infection
3.0,3.7,Bengal,Male,dry gums,fever,nasal discharge,sneezing,1,no,no,no,yes,no,no,no,yes,yes,39.5,198,dehydration
7.0,3.6,Siamese,Female,fever,lethargy,sneezing,vomiting,4,no,yes,no,yes,no,no,no,no,no,39.5,222,feline panleukopenia
3.0,6.7,Siamese,Female,diarrhea,lethargy,pale gums,none,3,no,no,yes,no,no,no,no,no,no,38.6,190,anemia
2.0,3.1,Persian,Female,bloated abdomen,diarrhea,lethargy,loss of appetite,3,yes,no,yes,no,no,no,no,no,no,38.3,210,gastritis
5.0,4.9,Maine Coon,Male,red skin,none,none,none,3,no,no,no,no,no,no,no,no,no,37.7,161,skin allergy
15.0,6.9,Siamese,Female,eye discharge,fever,lethargy,pale gums,1,no,no,no,no,no,no,no,no,yes,39.5,193,anemia
5.0,2.8,Bengal,Female,fever,lethargy,none,none,2,no,no,no,no,no,no,no,no,no,39.5,218,feline panleukopenia
8.0,3.0,Siamese,Female,blood in urine,painful urination,none,none,2,no,no,no,no,no,no,no,no,no,38.7,176,urinary tract infection
12.0,5.5,Persian,Female,eye discharge,increased thirst,lethargy,red eyes,4,no,no,no,no,no,no,no,no,yes,38.3,197,anemia
9.0,5.2,Indian Domestic,Male,bloated abdomen,diarrhea,lethargy,pale gums,5,no,no,yes,no,no,no,no,no,no,38.3,185,anemia
8.0,3.8,Indian Domestic,Female,blood in urine,eye discharge,frequent urination,painful urination,5,no,no,no,no,no,no,no,no,yes,38.3,195,feline conjunctivitis
8.0,6.3,Indian Domestic,Male,diarrhea,dry gums,fever,lethargy,3,no,no,yes,no,no,no,no,no,no,39.5,229,dehydration
15.0,6.4,Persian,Male,bloated abdomen,pale gums,weakness,weight loss,2,no,no,no,no,no,no,no,no,no,38.7,164,anemia
5.0,6.8,Indian Domestic,Male,blood in urine,fever,lethargy,loss of appetite,2,yes,yes,no,yes,no,no,no,yes,no,39.5,213,gastritis
2.0,5.3,Bengal,Male,bloated abdomen,diarrhea,sunken eyes,weight loss,5,no,no,yes,no,no,no,no,no,yes,38.5,196,dehydration
11.0,3.8,Indian Domestic,Female,diarrhea,fever,vomiting,none,2,no,yes,yes,no,no,no,no,no,no,39.5,190,feline panleukopenia
15.0,5.9,Indian Domestic,Male,diarrhea,weight loss,none,none,7,no,no,yes,no,no,no,no,no,no,38.4,172,worm infestation
7.0,6.4,Indian Domestic,Male,bloated abdomen,diarrhea,fever,lethargy,3,yes,yes,yes,no,no,no,no,no,no,39.5,215,feline panleukopenia
4.0,5.2,Bengal,Female,hair loss,increased thirst,itching,lethargy,10,yes,yes,no,no,no,no,yes,no,no,37.9,171,chronic kidney disease
7.0,6.8,Bengal,Male,fever,weight loss,none,none,1,no,no,no,no,no,no,no,no,no,39.5,214,chronic kidney disease
5.0,6.3,Bengal,Female,diarrhea,eye discharge,lethargy,pale gums,1,no,no,yes,no,no,no,no,no,yes,38.5,171,anemia
6.0,3.6,Maine Coon,Female,fever,none,none,none,7,no,no,no,no,no,no,no,no,no,39.5,191,upper respiratory infection
7.0,5.5,Siamese,Female,red eyes,none,none,none,3,no,no,no,no,no,no,no,no,yes,38.8,169,feline conjunctivitis
11.0,5.8,Siamese,Male,diarrhea,lethargy,pale gums,vomiting,4,no,yes,yes,no,no,no,no,no,no,38.7,174,anemia
12.0,4.1,Persian,Male,eye discharge,red eyes,sneezing,squinting,3,no,no,no,yes,no,no,no,no,yes,38.7,163,feline conjunctivitis
3.0,5.4,Persian,Female,bloated abdomen,lethargy,weakness,none,5,no,no,no,no,no,no,no,no,no,39.2,172,anemia
4.0,6.7,Bengal,Male,diarrhea,fever,lethargy,nasal discharge,2,no,no,yes,yes,no,no,no,yes,no,39.5,192,feline panleukopenia
1.0,5.0,Indian Domestic,Female,dry gums,sunken eyes,none,none,4,no,no,no,no,no,no,no,no,yes,38.5,189,dehydration
7.0,6.8,Siamese,Female,diarrhea,lethargy,sunken eyes,none,3,no,no,yes,no,no,no,no,no,yes,38.4,166,dehydration
6.0,4.5,Bengal,Female,diarrhea,eye discharge,fever,lethargy,4,no,yes,yes,no,no,no,no,no,yes,39.5,213,feline conjunctivitis
11.0,4.4,Siamese,Male,squinting,none,none,none,1,no,no,no,no,no,no,no,no,no,38.3,196,feline conjunctivitis
2.0,2.9,Persian,Female,diarrhea,dry gums,fever,lethargy,5,no,no,yes,no,no,no,no,no,no,39.5,223,dehydration
3.0,3.3,Siamese,Female,bloated abdomen,increased thirst,lethargy,weight loss,5,no,no,no,no,no,no,no,no,no,38.4,182,chronic kidney disease
5.0,3.6,Maine Coon,Female,bloated abdomen,diarrhea,hair loss,itching,3,no,no,yes,no,no,no,yes,no,no,38.4,195,chronic kidney disease
3.0,3.0,Maine Coon,Male,dry gums,hair loss,increased thirst,lethargy,7,no,no,no,no,no,no,yes,no,no,38.4,185,chronic kidney disease
7.0,5.4,Maine Coon,Male,blood in urine,frequent urination,hair loss,painful urination,2,no,no,no,no,no,no,yes,no,no,38.9,195,skin allergy
6.0,3.0,Bengal,Female,blood in urine,dry gums,lethargy,sunken eyes,5,no,no,no,no,no,no,no,no,yes,38.2,191,dehydration
5.0,6.6,Maine Coon,Male,lethargy,pale gums,weakness,none,3,no,no,no,no,no,no,no,no,no,38.6,160,anemia
11.0,4.4,Bengal,Female,diarrhea,pale gums,weakness,weight loss,1,no,no,yes,no,no,no,no,no,no,38.8,186,anemia
1.0,3.3,Siamese,Male,lethargy,loss of appetite,pale gums,vomiting,1,yes,yes,no,no,no,no,no,no,no,38.6,207,anemia
10.0,6.8,Siamese,Male,lethargy,weakness,none,none,4,no,no,no,no,no,no,no,no,no,38.1,168,anemia
8.0,6.8,Maine Coon,Male,bloated abdomen,diarrhea,weight loss,none,4,no,no,yes,no,no,no,no,no,no,38.3,189,worm infestation
7.0,3.2,Maine Coon,Female,fever,nasal discharge,sneezing,none,3,no,no,no,yes,no,no,no,yes,no,39.5,226,upper respiratory infection
12.0,3.2,Indian Domestic,Male,eye discharge,increased thirst,lethargy,squinting,3,no,no,no,no,no,no,no,no,yes,38.2,163,chronic kidney disease
13.0,2.7,Maine Coon,Male,bloated abdomen,diarrhea,weight loss,none,2,no,no,yes,no,no,no,no,no,no,38.2,198,worm infestation
6.0,4.0,Persian,Male,nasal discharge,none,none,none,2,no,no,no,no,no,no,no,yes,no,38.3,195,upper respiratory infection
13.0,5.4,Bengal,Female,eye discharge,red eyes,none,none,3,no,no,no,no,no,no,no,no,yes,38.5,183,feline conjunctivitis
14.0,5.5,Siamese,Male,blood in urine,frequent urination,weakness,none,3,no,no,no,no,no,no,no,no,no,38.9,167,anemia
6.0,6.9,Indian Domestic,Female,lethargy,vomiting,weakness,none,4,no,yes,no,no,no,no,no,no,no,38.2,197,anemia
3.0,6.9,Siamese,Female,hair loss,itching,red skin,none,10,no,no,no,no,no,no,yes,no,no,38.6,196,skin allergy
7.0,4.7,Persian,Male,bloated abdomen,diarrhea,none,none,2,no,no,yes,no,no,no,no,no,no,38.6,198,worm infestation
5.0,4.1,Bengal,Female,weight loss,none,none,none,5,no,no,no,no,no,no,no,no,no,38.5,171,chronic kidney disease
9.0,4.4,Siamese,Male,blood in urine,frequent urination,increased thirst,lethargy,2,no,no,no,no,no,no,no,yes,no,38.4,166,chronic kidney disease
12.0,4.1,Siamese,Male,blood in urine,frequent urination,painful urination,none,3,no,no,no,no,no,no,no,no,no,38.8,197,urinary tract infection
2.0,6.1,Persian,Female,eye discharge,red eyes,squinting,sunken eyes,4,no,no,no,no,no,no,no,no,yes,38.2,204,dehydration
15.0,4.1,Persian,Male,eye discharge,hair loss,itching,red eyes,14,no,no,no,no,no,no,yes,no,yes,38.5,165,feline conjunctivitis
11.0,4.5,Bengal,Male,blood in urine,diarrhea,fever,frequent urination,3,no,yes,yes,yes,no,no,no,yes,no,39.5,229,feline panleukopenia
2.0,6.7,Persian,Female,hair loss,itching,pale gums,weakness,4,no,no,no,no,no,no,yes,no,no,38.2,191,anemia
14.0,2.6,Siamese,Female,red eyes,none,none,none,5,no,no,no,no,no,no,no,no,yes,38.9,192,feline conjunctivitis
4.0,5.2,Siamese,Male,eye discharge,red eyes,squinting,none,5,no,no,no,no,no,no,no,no,yes,38.5,180,feline conjunctivitis
4.0,4.0,Indian Domestic,Male,diarrhea,dry gums,itching,red skin,4,no,yes,yes,no,no,no,yes,no,no,38.8,185,dehydration
9.0,5.4,Persian,Female,bloated abdomen,diarrhea,lethargy,sunken eyes,4,no,no,yes,no,no,no,no,no,yes,38.6,173,dehydration
5.0,4.8,Bengal,Male,red eyes,squinting,none,none,2,no,no,no,no,no,no,no,no,yes,38.6,163,feline conjunctivitis
4.0,3.9,Bengal,Female,blood in urine,diarrhea,eye discharge,lethargy,3,no,yes,yes,no,no,no,no,no,yes,38.5,181,feline conjunctivitis
14.0,6.2,Bengal,Female,eye discharge,fever,lethargy,nasal discharge,2,no,no,no,yes,no,no,no,yes,yes,39.5,203,dehydration
11.0,4.1,Maine Coon,Female,blood in urine,frequent urination,lethargy,painful urination,1,no,no,no,no,no,no,no,no,no,38.3,192,dehydration
14.0,6.4,Indian Domestic,Male,diarrhea,fever,lethargy,none,2,no,no,yes,no,no,no,no,no,no,39.5,195,feline panleukopenia
10.0,2.7,Maine Coon,Male,dry gums,lethargy,sunken eyes,none,4,no,no,no,no,no,no,no,no,yes,38.7,163,dehydration
8.0,3.4,Bengal,Male,eye discharge,lethargy,red eyes,weakness,1,no,no,no,no,no,no,no,no,yes,38.1,181,anemia
14.0,5.7,Bengal,Male,diarrhea,fever,hair loss,lethargy,3,no,yes,yes,yes,no,no,yes,no,no,39.5,219,feline panleukopenia
1.0,5.5,Bengal,Female,blood in urine,diarrhea,fever,frequent urination,10,no,yes,yes,no,no,no,no,no,yes,39.5,226,dehydration
13.0,2.6,Persian,Female,bloated abdomen,diarrhea,fever,lethargy,4,no,yes,yes,no,no,no,no,no,no,39.5,198,feline panleukopenia
3.0,3.0,Bengal,Female,bloated abdomen,weight loss,none,none,1,no,no,no,no,no,no,no,no,no,38.7,176,worm infestation
8.0,3.6,Indian Domestic,Male,frequent urination,painful urination,none,none,2,no,no,no,no,no,no,no,no,no,38.8,166,urinary tract infection
3.0,3.5,Bengal,Male,lethargy,none,none,none,2,no,no,no,no,no,no,no,no,no,39.0,186,anemia
9.0,5.2,Persian,Male,diarrhea,lethargy,nasal discharge,sneezing,2,no,no,yes,yes,no,no,no,yes,no,38.6,198,chronic kidney disease
4.0,6.1,Maine Coon,Male,diarrhea,dry gums,fever,lethargy,4,no,yes,yes,no,no,no,no,no,no,39.5,214,chronic kidney disease
4.0,5.4,Indian Domestic,Male,diarrhea,fever,lethargy,red skin,3,no,no,yes,no,no,no,no,no,yes,39.5,196,dehydration
4.0,3.3,Maine Coon,Male,fever,increased thirst,lethargy,nasal discharge,4,no,no,no,yes,no,no,no,yes,no,39.5,182,chronic kidney disease
6.0,3.5,Siamese,Female,bloated abdomen,diarrhea,lethargy,vomiting,1,no,yes,yes,no,no,no,no,no,no,38.4,163,gastritis
13.0,3.2,Siamese,Female,red eyes,squinting,none,none,3,no,no,no,no,no,no,no,no,yes,39.1,178,feline conjunctivitis
4.0,5.8,Bengal,Male,lethargy,pale gums,weakness,none,2,no,no,no,no,no,no,no,no,no,37.9,184,anemia
9.0,4.1,Bengal,Female,itching,red skin,none,none,3,no,no,no,no,no,no,yes,no,no,38.1,161,skin allergy
4.0,4.6,Maine Coon,Female,frequent urination,increased thirst,lethargy,nasal discharge,2,no,no,no,no,no,no,no,yes,no,38.5,194,chronic kidney disease
7.0,4.0,Indian Domestic,Female,frequent urination,increased thirst,painful urination,red eyes,4,no,no,no,no,no,no,no,no,yes,39.2,166,chronic kidney disease
15.0,3.5,Siamese,Male,blood in urine,painful urination,vomiting,none,1,no,yes,no,no,no,no,no,no,no,38.4,183,gastritis
3.0,3.0,Indian Domestic,Female,eye discharge,lethargy,loss of appetite,vomiting,7,yes,yes,no,no,no,no,no,no,yes,38.5,183,feline conjunctivitis
10.0,3.4,Siamese,Female,nasal discharge,pale gums,weakness,none,2,no,no,no,no,no,no,no,yes,no,38.3,181,anemia
3.0,5.7,Bengal,Female,diarrhea,vomiting,none,none,7,no,yes,yes,no,no,no,no,no,no,39.1,175,feline panleukopenia
13.0,5.3,Siamese,Female,lethargy,loss of appetite,red eyes,vomiting,10,yes,yes,no,no,no,no,no,no,yes,38.4,172,anemia
15.0,3.2,Indian Domestic,Female,diarrhea,fever,lethargy,vomiting,5,no,yes,yes,no,no,no,no,no,no,39.5,196,feline panleukopenia
4.0,6.3,Persian,Female,frequent urination,increased thirst,painful urination,weight loss,2,no,no,no,no,no,no,no,no,no,38.6,164,chronic kidney disease
9.0,4.1,Bengal,Male,blood in urine,frequent urination,lethargy,none,4,no,no,no,no,no,no,no,no,no,38.8,189,gastritis
8.0,4.1,Siamese,Male,lethargy,red eyes,none,none,5,no,no,no,no,no,no,no,no,yes,38.6,171,dehydration
14.0,4.1,Persian,Male,diarrhea,none,none,none,2,no,no,yes,no,no,no,no,no,no,38.7,199,worm infestation
3.0,4.5,Siamese,Male,blood in urine,diarrhea,fever,frequent urination,3,no,yes,yes,yes,no,no,no,yes,no,39.5,209,feline panleukopenia
10.0,6.9,Siamese,Male,diarrhea,fever,lethargy,sunken eyes,2,no,yes,yes,no,no,no,no,no,yes,39.5,234,chronic kidney disease
13.0,4.6,Siamese,Male,squinting,none,none,none,3,no,no,no,no,no,no,no,no,no,38.7,190,feline conjunctivitis
1.0,6.2,Maine Coon,Female,lethargy,pale gums,weakness,none,4,no,no,no,no,no,no,no,no,no,38.9,192,anemia
8.0,6.7,Bengal,Male,blood in urine,frequent urination,none,none,5,no,no,no,no,no,no,no,no,no,38.5,175,urinary tract infection
9.0,4.7,Siamese,Male,weakness,none,none,none,1,no,no,no,no,no,no,no,no,no,38.6,198,anemia
13.0,6.6,Siamese,Male,fever,frequent urination,nasal discharge,sneezing,3,no,no,no,yes,no,no,no,yes,no,39.5,213,upper respiratory infection
4.0,4.0,Maine Coon,Male,hair loss,increased thirst,itching,lethargy,2,yes,yes,no,no,no,no,yes,no,no,38.5,173,chronic kidney disease
2.0,6.5,Bengal,Female,increased thirst,itching,lethargy,none,4,no,no,no,no,no,no,yes,no,no,38.7,211,chronic kidney disease
12.0,6.1,Indian Domestic,Female,bloated abdomen,fever,weight loss,none,1,no,no,no,no,no,no,no,no,no,39.5,200,chronic kidney disease
13.0,6.1,Persian,Male,pale gums,red eyes,none,none,3,no,no,no,no,no,no,no,no,yes,38.7,177,anemia
5.0,6.2,Persian,Male,bloated abdomen,diarrhea,hair loss,itching,5,no,no,yes,no,no,no,yes,no,no,38.3,165,anemia
10.0,6.6,Maine Coon,Female,diarrhea,fever,lethargy,nasal discharge,4,no,no,yes,yes,no,no,no,yes,no,39.5,206,anemia
7.0,6.6,Maine Coon,Male,bloated abdomen,diarrhea,fever,lethargy,1,no,no,yes,no,no,no,no,no,no,39.5,209,feline panleukopenia
5.0,6.0,Indian Domestic,Male,diarrhea,fever,lethargy,vomiting,5,no,yes,yes,no,no,no,no,no,no,39.5,209,feline panleukopenia
15.0,6.1,Siamese,Male,eye discharge,squinting,none,none,1,no,no,no,no,no,no,no,no,yes,38.4,199,feline conjunctivitis
5.0,6.3,Indian Domestic,Male,bloated abdomen,hair loss,none,none,2,no,no,no,no,no,no,yes,no,no,38.8,197,skin allergy
3.0,5.4,Siamese,Female,bloated abdomen,blood in urine,diarrhea,frequent urination,14,no,no,yes,no,no,no,no,no,no,38.4,190,anemia
3.0,5.4,Maine Coon,Female,bloated abdomen,increased thirst,lethargy,red skin,2,no,no,no,no,no,no,no,no,no,37.9,196,chronic kidney disease
10.0,3.8,Maine Coon,Male,blood in urine,diarrhea,painful urination,vomiting,1,no,yes,yes,no,no,no,no,no,no,39.0,179,feline panleukopenia
7.0,4.4,Siamese,Male,bloated abdomen,none,none,none,1,no,no,no,no,no,no,no,no,no,38.3,164,worm infestation
5.0,4.6,Siamese,Male,diarrhea,fever,red eyes,sunken eyes,1,no,yes,yes,no,no,no,no,no,yes,39.5,219,dehydration
8.0,4.8,Bengal,Male,loss of appetite,vomiting,none,none,3,yes,yes,no,no,no,no,no,no,no,38.5,198,gastritis
6.0,4.4,Bengal,Female,blood in urine,none,none,none,2,no,no,no,no,no,no,no,no,no,38.7,168,urinary tract infection
6.0,5.3,Indian Domestic,Male,sunken eyes,vomiting,none,none,10,no,yes,no,no,no,no,no,no,yes,38.4,160,dehydration
1.0,2.8,Persian,Male,blood in urine,none,none,none,10,no,no,no,no,no,no,no,no,no,38.6,182,urinary tract infection
2.0,3.2,Persian,Male,bloated abdomen,diarrhea,hair loss,itching,3,no,no,yes,yes,no,no,yes,no,no,38.5,218,skin allergy
2.0,5.9,Persian,Male,bloated abdomen,blood in urine,diarrhea,frequent urination,3,no,no,yes,no,no,no,no,no,no,38.9,198,chronic kidney disease
14.0,5.9,Bengal,Female,frequent urination,hair loss,itching,painful urination,3,no,no,no,no,no,no,yes,no,no,38.8,183,skin allergy
15.0,3.3,Persian,Male,lethargy,pale gums,weakness,weight loss,7,no,no,no,no,no,no,no,no,no,39.2,171,anemia
10.0,4.7,Persian,Male,fever,lethargy,nasal discharge,red skin,2,no,yes,no,no,no,no,no,yes,no,39.5,205,feline panleukopenia
12.0,3.1,Maine Coon,Female,lethargy,loss of appetite,nasal discharge,vomiting,3,yes,yes,no,no,no,no,no,yes,no,38.3,163,chronic kidney disease
9.0,3.8,Bengal,Female,diarrhea,fever,lethargy,red eyes,10,no,yes,yes,no,no,no,no,no,yes,39.5,232,feline conjunctivitis
7.0,2.8,Persian,Male,increased thirst,lethargy,weight loss,none,3,no,no,no,no,no,no,no,no,no,38.8,187,chronic kidney disease
3.0,6.8,Indian Domestic,Male,increased thirst,lethargy,weight loss,none,2,no,no,no,no,no,no,no,no,no,38.3,196,chronic kidney disease
8.0,6.5,Maine Coon,Female,increased thirst,lethargy,none,none,5,no,no,no,no,no,no,no,no,no,38.1,197,chronic kidney disease
3.0,3.9,Indian Domestic,Male,bloated abdomen,none,none,none,5,no,no,no,no,no,no,no,no,no,39.0,161,worm infestation
10.0,6.6,Maine Coon,Female,hair loss,lethargy,red skin,weakness,1,no,no,no,no,no,no,yes,no,no,38.9,199,anemia
10.0,4.3,Maine Coon,Male,frequent urination,nasal discharge,painful urination,weight loss,2,no,no,no,no,no,no,no,yes,no,38.4,183,chronic kidney disease
9.0,5.9,Bengal,Male,bloated abdomen,diarrhea,fever,lethargy,2,no,yes,yes,no,no,no,no,no,no,39.5,234,feline panleukopenia
5.0,3.6,Indian Domestic,Female,diarrhea,fever,itching,lethargy,5,no,yes,yes,yes,no,no,yes,yes,no,39.5,206,feline panleukopenia
3.0,6.0,Siamese,Female,blood in urine,fever,frequent urination,painful urination,2,no,no,no,yes,no,no,no,no,no,39.5,199,upper respiratory infection
8.0,2.9,Bengal,Male,pale gums,weakness,none,none,5,no,no,no,no,no,no,no,no,no,39.0,197,anemia
10.0,6.1,Persian,Male,dry gums,lethargy,sunken eyes,none,5,no,no,no,no,no,no,no,no,yes,38.6,169,dehydration
3.0,3.8,Indian Domestic,Male,blood in urine,frequent urination,lethargy,loss of appetite,3,yes,yes,no,no,no,no,no,no,no,38.1,186,feline conjunctivitis
7.0,6.8,Bengal,Female,bloated abdomen,none,none,none,3,no,no,no,no,no,no,no,no,no,38.7,174,worm infestation
12.0,2.7,Bengal,Female,eye discharge,lethargy,none,none,1,no,no,no,no,no,no,no,no,yes,38.6,190,dehydration
11.0,2.8,Persian,Male,blood in urine,frequent urination,increased thirst,lethargy,3,no,no,no,no,no,no,no,no,no,39.1,194,anemia
9.0,5.8,Maine Coon,Female,fever,nasal discharge,sneezing,none,3,no,no,no,yes,no,no,no,yes,no,39.5,219,upper respiratory infection
2.0,6.3,Persian,Female,lethargy,red skin,vomiting,none,3,no,yes,no,no,no,no,no,no,no,38.7,208,gastritis
10.0,5.9,Bengal,Female,increased thirst,lethargy,pale gums,weakness,2,no,no,no,no,no,no,no,no,no,38.9,165,anemia
9.0,4.0,Persian,Female,sunken eyes,none,none,none,1,no,no,no,no,no,no,no,no,yes,38.8,175,dehydration
9.0,3.4,Indian Domestic,Female,eye discharge,red eyes,squinting,none,3,no,no,no,no,no,no,no,no,yes,38.0,196,feline conjunctivitis
13.0,5.8,Indian Domestic,Female,blood in urine,diarrhea,dry gums,lethargy,2,no,no,yes,no,no,no,no,no,yes,39.0,175,dehydration
10.0,2.6,Persian,Male,eye discharge,squinting,none,none,3,no,no,no,no,no,no,no,no,yes,38.5,194,feline conjunctivitis
15.0,6.7,Maine Coon,Male,lethargy,vomiting,weakness,none,7,no,yes,no,no,no,no,no,no,no,38.0,178,anemia
3.0,2.5,Indian Domestic,Male,hair loss,itching,red skin,none,14,no,no,no,no,no,no,yes,no,no,38.5,179,skin allergy
2.0,5.7,Maine Coon,Male,hair loss,red skin,none,none,2,no,no,no,no,no,no,yes,no,no,38.1,183,skin allergy
14.0,4.3,Bengal,Male,bloated abdomen,diarrhea,lethargy,weight loss,1,no,no,yes,no,no,no,no,no,no,38.7,165,chronic kidney disease
2.0,6.8,Maine Coon,Female,diarrhea,lethargy,vomiting,weight loss,2,no,yes,yes,no,no,no,no,no,no,38.6,187,chronic kidney disease
2.0,3.6,Siamese,Female,increased thirst,pale gums,vomiting,weakness,2,no,yes,no,no,no,no,no,no,no,38.2,215,anemia
12.0,4.9,Siamese,Male,lethargy,none,none,none,3,no,no,no,no,no,no,no,no,no,38.2,167,anemia
3.0,6.7,Indian Domestic,Female,bloated abdomen,diarrhea,dry gums,lethargy,1,no,no,yes,no,no,no,no,no,no,38.7,166,chronic kidney disease
5.0,6.3,Bengal,Male,bloated abdomen,diarrhea,nasal discharge,red skin,2,no,no,yes,yes,no,no,no,yes,no,38.5,168,skin allergy
6.0,5.5,Persian,Female,increased thirst,pale gums,sneezing,none,2,no,no,no,yes,no,no,no,no,no,38.2,180,anemia
10.0,6.3,Persian,Female,lethargy,none,none,none,4,no,no,no,no,no,no,no,no,no,38.3,194,dehydration
13.0,4.6,Persian,Female,diarrhea,itching,lethargy,red skin,7,no,yes,yes,no,no,no,yes,no,no,38.6,162,feline panleukopenia
13.0,6.5,Siamese,Female,bloated abdomen,diarrhea,dry gums,lethargy,2,no,no,yes,no,no,no,no,no,yes,38.7,167,dehydration
4.0,2.8,Maine Coon,Female,hair loss,itching,red skin,none,2,no,no,no,no,no,no,yes,no,no,38.7,174,skin allergy
8.0,4.5,Persian,Female,squinting,none,none,none,3,no,no,no,no,no,no,no,no,no,38.0,178,feline conjunctivitis
13.0,4.0,Siamese,Male,diarrhea,itching,lethargy,red skin,4,no,no,yes,no,no,no,yes,no,no,38.9,161,feline panleukopenia
11.0,5.1,Maine Coon,Male,blood in urine,eye discharge,increased thirst,lethargy,2,no,no,no,no,no,no,no,no,yes,38.7,180,chronic kidney disease
4.0,6.1,Siamese,Male,bloated abdomen,frequent urination,red eyes,none,3,no,no,no,no,no,no,no,no,yes,38.6,164,feline conjunctivitis
6.0,4.8,Siamese,Female,bloated abdomen,blood in urine,diarrhea,lethargy,3,no,no,yes,no,no,no,no,no,no,38.0,170,anemia
11.0,6.2,Indian Domestic,Male,diarrhea,dry gums,lethargy,sunken eyes,2,no,no,yes,no,no,no,no,no,yes,38.6,160,dehydration
12.0,2.5,Bengal,Female,red skin,none,none,none,2,no,no,no,no,no,no,no,no,no,38.3,164,skin allergy
4.0,5.7,Maine Coon,Male,eye discharge,loss of appetite,squinting,vomiting,5,yes,yes,no,no,no,no,no,no,yes,38.2,183,feline conjunctivitis
14.0,5.0,Bengal,Male,pale gums,weakness,none,none,4,no,no,no,no,no,no,no,no,no,38.5,163,anemia
7.0,5.3,Indian Domestic,Female,lethargy,sunken eyes,none,none,3,no,no,no,no,no,no,no,no,yes,38.9,183,dehydration
5.0,5.0,Bengal,Female,eye discharge,lethargy,pale gums,red eyes,4,no,no,no,no,no,no,no,no,yes,38.2,171,anemia
