age,gender,breed,weight,symptoms,diseases
11,male,persian,2.8,"blood in urine, frequent urination, increased thirst, lethargy, painful urination, pale gums, weight loss","anemia, chronic kidney disease, urinary tract infection"
9,female,maine coon,5.8,"fever, nasal discharge, sneezing",upper respiratory infection
2,female,persian,6.3,"lethargy, red skin, vomiting","gastritis, skin allergy"
10,female,bengal,5.9,"increased thirst, lethargy, pale gums, weakness, weight loss","anemia, chronic kidney disease"
9,female,persian,4.0,sunken eyes,dehydration
9,female,indian domestic,3.4,"eye discharge, red eyes, squinting",feline conjunctivitis
13,female,indian domestic,5.8,"blood in urine, diarrhea, dry gums, lethargy, painful urination, sunken eyes, weight loss","dehydration, urinary tract infection, worm infestation"
10,male,persian,2.6,"eye discharge, squinting",feline conjunctivitis
15,male,maine coon,6.7,"lethargy, vomiting, weakness","anemia, gastritis"
3,male,indian domestic,2.5,"hair loss, itching, red skin",skin allergy
2,male,maine coon,5.7,"hair loss, red skin",skin allergy
14,male,bengal,4.3,"bloated abdomen, diarrhea, lethargy, weight loss","chronic kidney disease, gastritis, worm infestation"
2,female,maine coon,6.8,"diarrhea, lethargy, vomiting, weight loss","chronic kidney disease, feline panleukopenia"
2,female,siamese,3.6,"increased thirst, pale gums, vomiting, weakness, weight loss","anemia, chronic kidney disease, gastritis"
12,male,siamese,4.9,lethargy,anemia
3,female,indian domestic,6.7,"bloated abdomen, diarrhea, dry gums, lethargy, weight loss","chronic kidney disease, dehydration, worm infestation"
5,male,bengal,6.3,"bloated abdomen, diarrhea, nasal discharge, red skin, sneezing, weight loss","skin allergy, upper respiratory infection, worm infestation"
6,female,persian,5.5,"increased thirst, pale gums, sneezing","anemia, chronic kidney disease, upper respiratory infection"
10,female,persian,6.3,lethargy,dehydration
13,female,persian,4.6,"diarrhea, itching, lethargy, red skin, vomiting","feline panleukopenia, skin allergy, worm infestation"
13,female,siamese,6.5,"bloated abdomen, diarrhea, dry gums, lethargy, sunken eyes, weight loss","dehydration, worm infestation"
4,female,maine coon,2.8,"hair loss, itching, red skin",skin allergy
8,female,persian,4.5,squinting,feline conjunctivitis
13,male,siamese,4.0,"diarrhea, itching, lethargy, red skin","feline panleukopenia, skin allergy"
11,male,maine coon,5.1,"blood in urine, eye discharge, increased thirst, lethargy, red eyes, squinting, weight loss","chronic kidney disease, feline conjunctivitis, urinary tract infection"
4,male,siamese,6.1,"bloated abdomen, frequent urination, red eyes","feline conjunctivitis, urinary tract infection, worm infestation"
6,female,siamese,4.8,"bloated abdomen, blood in urine, diarrhea, lethargy, painful urination, pale gums, weakness, weight loss","anemia, urinary tract infection, worm infestation"
11,male,indian domestic,6.2,"diarrhea, dry gums, lethargy, sunken eyes, weight loss","dehydration, feline panleukopenia, worm infestation"
12,female,bengal,2.5,red skin,skin allergy
4,male,maine coon,5.7,"eye discharge, loss of appetite, squinting, vomiting","feline conjunctivitis, gastritis"
14,male,bengal,5.0,"pale gums, weakness",anemia
7,female,indian domestic,5.3,"lethargy, sunken eyes","dehydration, gastritis"
5,female,bengal,5.0,"eye discharge, lethargy, pale gums, red eyes, squinting, weakness","anemia, feline conjunctivitis"
10,female,siamese,3.8,"blood in urine, diarrhea, eye discharge, fever, frequent urination, lethargy, painful urination","feline conjunctivitis, feline panleukopenia, urinary tract infection"
8,female,indian domestic,6.3,"bloated abdomen, diarrhea, fever, lethargy, nasal discharge, weight loss","gastritis, upper respiratory infection, worm infestation"
4,female,maine coon,5.7,"diarrhea, fever, lethargy, nasal discharge, sneezing","feline panleukopenia, upper respiratory infection"
8,male,siamese,2.7,weight loss,worm infestation
14,male,indian domestic,6.7,"eye discharge, lethargy, loss of appetite, squinting","feline conjunctivitis, gastritis"
4,female,persian,2.6,"bloated abdomen, diarrhea, hair loss, itching, painful urination, red skin","skin allergy, urinary tract infection, worm infestation"
9,female,persian,4.2,"lethargy, loss of appetite, vomiting",gastritis
7,male,persian,6.6,"blood in urine, eye discharge, fever, frequent urination, nasal discharge, painful urination, red eyes, sneezing, squinting","feline conjunctivitis, upper respiratory infection, urinary tract infection"
1,male,persian,4.0,"dry gums, lethargy, sunken eyes","dehydration, gastritis"
4,female,persian,6.6,"eye discharge, lethargy, loss of appetite, red eyes, squinting, vomiting","feline conjunctivitis, feline panleukopenia, gastritis"
2,male,indian domestic,4.9,"diarrhea, hair loss, weight loss","skin allergy, worm infestation"
14,male,siamese,6.8,"blood in urine, diarrhea, frequent urination, lethargy, loss of appetite","feline panleukopenia, gastritis, urinary tract infection"
5,female,siamese,6.8,"lethargy, sneezing, sunken eyes, weight loss","chronic kidney disease, dehydration, upper respiratory infection"
14,female,maine coon,2.9,"dry gums, lethargy, weakness","anemia, dehydration"
6,female,maine coon,6.1,"eye discharge, fever, lethargy, red eyes, sneezing, weight loss","chronic kidney disease, feline conjunctivitis, upper respiratory infection"
5,female,bengal,3.1,"diarrhea, lethargy, red skin","feline panleukopenia, skin allergy"
5,female,siamese,3.9,vomiting,feline panleukopenia
8,female,siamese,4.0,red eyes,feline conjunctivitis
6,male,indian domestic,4.0,"lethargy, loss of appetite, vomiting",gastritis
11,female,persian,2.7,"fever, frequent urination, hair loss, itching, nasal discharge, painful urination, sneezing","skin allergy, upper respiratory infection, urinary tract infection"
1,female,siamese,5.5,"eye discharge, fever, nasal discharge, pale gums, red eyes, sneezing, squinting, weakness","anemia, feline conjunctivitis, upper respiratory infection"
1,female,bengal,2.6,lethargy,feline panleukopenia
11,male,bengal,3.9,"bloated abdomen, diarrhea, dry gums, itching, lethargy, red skin, sunken eyes, weight loss","dehydration, skin allergy, worm infestation"
5,female,bengal,5.1,"fever, lethargy, squinting, vomiting","feline conjunctivitis, feline panleukopenia"
10,male,indian domestic,5.1,"diarrhea, fever, frequent urination, lethargy, painful urination, vomiting","chronic kidney disease, feline panleukopenia, urinary tract infection"
7,female,persian,4.0,squinting,feline conjunctivitis
15,male,maine coon,7.0,"diarrhea, dry gums, fever, lethargy, nasal discharge, sneezing, sunken eyes, vomiting","dehydration, feline panleukopenia, upper respiratory infection"
4,female,siamese,4.6,"bloated abdomen, blood in urine, diarrhea, fever, frequent urination, nasal discharge, painful urination, sneezing, weight loss","upper respiratory infection, urinary tract infection, worm infestation"
6,male,persian,4.9,"fever, frequent urination, lethargy, nasal discharge","gastritis, upper respiratory infection, urinary tract infection"
12,male,indian domestic,3.9,"red eyes, squinting, weight loss","chronic kidney disease, feline conjunctivitis"
8,male,persian,4.5,"bloated abdomen, diarrhea, dry gums, lethargy, weight loss","dehydration, worm infestation"
15,female,indian domestic,4.7,"diarrhea, fever, lethargy, vomiting",feline panleukopenia
1,male,persian,5.2,"blood in urine, frequent urination, lethargy, nasal discharge, painful urination","gastritis, upper respiratory infection, urinary tract infection"
3,male,bengal,5.7,"diarrhea, lethargy",feline panleukopenia
7,male,indian domestic,6.3,"bloated abdomen, blood in urine, diarrhea, eye discharge, red eyes, squinting","feline conjunctivitis, urinary tract infection, worm infestation"
4,female,siamese,6.1,"lethargy, loss of appetite, vomiting",gastritis
6,female,indian domestic,5.3,"increased thirst, weight loss",chronic kidney disease
7,male,persian,5.1,"hair loss, itching, red skin",skin allergy
3,female,indian domestic,4.9,"bloated abdomen, diarrhea, lethargy, vomiting, weight loss","gastritis, worm infestation"
7,male,persian,6.3,"eye discharge, fever, increased thirst, lethargy, red eyes, sneezing, squinting","chronic kidney disease, feline conjunctivitis, upper respiratory infection"
8,female,bengal,3.3,"hair loss, increased thirst, itching, lethargy, loss of appetite, vomiting, weight loss","chronic kidney disease, gastritis, skin allergy"
15,male,persian,2.5,"lethargy, loss of appetite, vomiting","feline panleukopenia, gastritis"
5,male,persian,5.2,"loss of appetite, vomiting","feline panleukopenia, gastritis"
15,female,siamese,3.1,"hair loss, itching, lethargy, loss of appetite, pale gums","anemia, gastritis, skin allergy"
2,female,maine coon,3.5,"dry gums, hair loss, increased thirst, itching, lethargy, sunken eyes","chronic kidney disease, dehydration, skin allergy"
7,female,persian,6.0,squinting,feline conjunctivitis
5,male,bengal,5.5,"diarrhea, fever, lethargy, sneezing","feline panleukopenia, upper respiratory infection"
1,female,indian domestic,2.9,"itching, weight loss","chronic kidney disease, skin allergy"
13,female,indian domestic,5.9,"increased thirst, lethargy, loss of appetite, pale gums, vomiting, weight loss","anemia, chronic kidney disease, gastritis"
10,female,indian domestic,5.7,"bloated abdomen, blood in urine, diarrhea, frequent urination, itching, painful urination, red skin, weight loss","skin allergy, urinary tract infection, worm infestation"
10,male,siamese,2.6,"fever, lethargy, loss of appetite, sneezing","gastritis, upper respiratory infection"
10,male,indian domestic,4.8,"lethargy, pale gums, weakness, weight loss","anemia, worm infestation"
8,male,indian domestic,5.9,"dry gums, lethargy, sunken eyes",dehydration
2,female,maine coon,4.9,"pale gums, vomiting, weakness","anemia, feline panleukopenia"
5,male,bengal,2.9,"blood in urine, frequent urination, lethargy, painful urination, sunken eyes","dehydration, urinary tract infection"
14,male,maine coon,4.8,"eye discharge, fever, itching, lethargy, red eyes, red skin, squinting, vomiting","feline conjunctivitis, feline panleukopenia, skin allergy"
9,male,persian,5.3,squinting,feline conjunctivitis
13,male,indian domestic,5.8,"itching, lethargy, vomiting","gastritis, skin allergy"
7,male,maine coon,3.7,"eye discharge, red eyes, squinting",feline conjunctivitis
1,male,maine coon,5.8,"dry gums, sunken eyes, weight loss","chronic kidney disease, dehydration"
15,female,maine coon,5.0,"increased thirst, lethargy",chronic kidney disease
5,female,bengal,5.3,"diarrhea, fever, hair loss, itching, lethargy, vomiting","feline panleukopenia, skin allergy"
10,female,persian,2.5,"lethargy, pale gums, sunken eyes, vomiting, weakness","anemia, dehydration, feline panleukopenia"
11,female,maine coon,3.3,"eye discharge, increased thirst, lethargy, loss of appetite, red eyes, squinting, vomiting","chronic kidney disease, feline conjunctivitis, gastritis"
12,female,indian domestic,3.1,"fever, hair loss, lethargy, loss of appetite, nasal discharge, sneezing, vomiting","gastritis, skin allergy, upper respiratory infection"
1,male,siamese,4.4,"fever, lethargy, nasal discharge, sneezing","feline panleukopenia, upper respiratory infection"
6,male,bengal,5.7,"increased thirst, red skin","chronic kidney disease, skin allergy"
9,female,siamese,5.6,"hair loss, itching, red skin",skin allergy
4,female,bengal,5.3,"diarrhea, fever, hair loss, itching, lethargy, red skin, sneezing, vomiting","feline panleukopenia, skin allergy, upper respiratory infection"
5,female,persian,6.1,"dry gums, lethargy, pale gums","anemia, dehydration"
8,female,persian,6.3,"increased thirst, lethargy, loss of appetite, red eyes","chronic kidney disease, feline conjunctivitis, gastritis"
13,female,maine coon,5.2,"bloated abdomen, blood in urine, diarrhea, fever, nasal discharge, sneezing, weight loss","upper respiratory infection, urinary tract infection, worm infestation"
5,male,persian,6.4,squinting,feline conjunctivitis
9,female,maine coon,6.3,"frequent urination, hair loss, painful urination, red skin","skin allergy, urinary tract infection"
3,female,maine coon,4.7,"fever, frequent urination, nasal discharge, painful urination","upper respiratory infection, urinary tract infection"
5,male,bengal,3.3,"hair loss, itching, lethargy, pale gums, red skin","anemia, feline panleukopenia, skin allergy"
1,male,siamese,2.7,"increased thirst, lethargy, pale gums, red skin, weakness, weight loss","anemia, chronic kidney disease, skin allergy"
5,female,indian domestic,3.4,"fever, nasal discharge, sneezing",upper respiratory infection
11,female,maine coon,5.0,"hair loss, lethargy, loss of appetite, pale gums, weakness","anemia, gastritis, skin allergy"
7,male,indian domestic,4.9,"blood in urine, dry gums, frequent urination, lethargy, painful urination, sunken eyes","dehydration, urinary tract infection"
8,female,bengal,4.2,"blood in urine, frequent urination",urinary tract infection
7,female,maine coon,5.6,"frequent urination, lethargy, sunken eyes, weakness","anemia, dehydration, urinary tract infection"
1,male,indian domestic,6.9,"fever, painful urination, sneezing","upper respiratory infection, urinary tract infection"
2,male,bengal,3.0,"blood in urine, frequent urination, loss of appetite, painful urination, pale gums, vomiting","anemia, gastritis, urinary tract infection"
7,female,persian,3.9,"dry gums, lethargy, pale gums, sunken eyes","anemia, dehydration"
