Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Nasal_Discharge,Eye_Discharge,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Body_Temperature,Heart_Rate,Disease_Prediction
Cat,Persian,3.2,Male,5.3,scratching,red skin,scabs,,39 days,No,No,No,Yes,No,No,No,No,Yes,38.5°C,143,Skin Allergies
Cat,Siamese,7.6,Female,3.8,diarrhea,,lethargy,,1 days,No,No,Yes,Yes,Yes,No,No,No,No,39.4°C,178,Gastroenteritis
Cat,Ragdoll,13.2,Female,5.3,drooling,bleeding gums,,appetite loss,232 days,No,No,Yes,No,Yes,No,No,No,No,38.6°C,197,Dental Disease
Cat,Ragdoll,10.5,Male,8.1,difficulty eating,bleeding gums,drooling,,47 days,No,No,Yes,No,No,No,No,No,No,38.4°C,154,Dental Disease
Cat,British Shorthair,14.6,Female,4.7,bad breath,weight loss,,bleeding gums,233 days,No,No,Yes,No,Yes,No,No,No,No,38.5°C,167,Dental Disease
Cat,Ragdoll,0.6,Female,8.6,nasal discharge,appetite loss,lethargy,,9 days,Yes,Yes,Yes,No,No,Yes,No,No,No,40.4°C,189,Upper Respiratory Infection
Cat,Birman,16.9,Male,4.7,vomiting,poor coat,,,287 days,No,No,No,No,Yes,No,No,No,No,39.5°C,240,Hyperthyroidism
Cat,Bengal,11.0,Male,5.5,bad breath,,,bleeding gums,319 days,No,No,Yes,No,No,No,No,No,No,38.2°C,138,Dental Disease
Cat,Scottish Fold,12.2,Female,4.1,wheezing,,wheezing,,11 days,No,No,No,No,No,Yes,Yes,No,No,38.4°C,198,Asthma
Cat,Oriental,7.0,Female,5.8,fever,lethargy,fever,,10 days,Yes,Yes,No,Yes,No,No,No,No,No,40.0°C,178,Upper Respiratory Infection
Cat,Sphynx,13.1,Male,3.2,increased urination,lethargy,,increased appetite,242 days,No,No,No,No,No,No,No,Yes,No,38.2°C,167,Diabetes Mellitus
Cat,Scottish Fold,10.0,Male,5.0,bad breath,bleeding gums,pawing at mouth,appetite loss,56 days,No,No,Yes,No,No,No,No,No,No,38.3°C,155,Dental Disease
Cat,Oriental,13.6,Female,5.5,increased thirst,poor coat,weight loss,,169 days,No,No,No,Yes,No,No,No,No,No,37.8°C,187,Diabetes Mellitus
Cat,Sphynx,4.4,Female,4.8,vomiting,dehydration,,,6 days,No,No,Yes,Yes,Yes,No,No,No,No,39.4°C,195,Gastroenteritis
Cat,Russian Blue,8.5,Female,3.8,weight loss,,increased thirst,,190 days,No,No,No,Yes,Yes,No,No,No,No,38.9°C,205,Hyperthyroidism
Cat,Persian,3.2,Female,6.7,pawing at mouth,bleeding gums,drooling,,40 days,No,No,No,No,No,No,No,No,No,38.3°C,130,Dental Disease
Cat,British Shorthair,9.9,Female,4.2,increased thirst,vomiting,weight loss,,67 days,No,No,Yes,Yes,No,No,No,No,No,38.5°C,194,Chronic Kidney Disease
Cat,Mixed,16.6,Female,3.9,weight loss,increased thirst,,,88 days,No,No,No,Yes,Yes,No,No,No,Yes,39.1°C,204,Hyperthyroidism
Cat,Scottish Fold,12.5,Male,4.9,hyperactivity,increased thirst,,,112 days,No,No,No,Yes,No,Yes,No,No,No,39.1°C,203,Hyperthyroidism
Cat,British Shorthair,12.3,Female,3.7,weight loss,,,,102 days,No,No,No,Yes,Yes,No,No,No,No,38.4°C,170,Chronic Kidney Disease
Cat,Birman,4.8,Male,4.9,nasal discharge,appetite loss,coughing,,13 days,Yes,Yes,Yes,No,No,No,No,No,No,39.6°C,132,Upper Respiratory Infection
Cat,Scottish Fold,12.0,Male,5.0,increased appetite,,,,349 days,No,No,No,No,No,No,No,No,No,38.2°C,188,Diabetes Mellitus
Cat,Oriental,10.9,Female,4.2,lethargy,appetite loss,dehydration,,2 days,No,No,Yes,Yes,Yes,No,No,No,No,39.6°C,156,Gastroenteritis
Cat,Maine Coon,6.8,Female,7.5,sneezing,coughing,eye discharge,fever,3 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,39.6°C,124,Upper Respiratory Infection
Cat,Domestic Shorthair,1.1,Female,4.1,high fever,dehydration,,,3 days,No,No,Yes,Yes,Yes,No,Yes,No,No,40.7°C,187,Panleukopenia
Cat,Bengal,10.6,Male,5.5,drooling,bleeding gums,,,125 days,No,No,No,Yes,No,No,No,No,No,38.4°C,169,Dental Disease
Cat,British Shorthair,6.0,Male,3.5,coughing,exercise intolerance,wheezing,,282 days,No,No,No,No,No,Yes,Yes,No,No,38.8°C,124,Asthma
Cat,Persian,1.3,Male,4.3,high fever,appetite loss,,,7 days,No,No,Yes,Yes,Yes,No,No,No,No,41.3°C,204,Panleukopenia
Cat,Maine Coon,16.0,Female,5.6,weight loss,bad breath,,,76 days,No,No,Yes,No,No,No,No,No,No,37.6°C,165,Chronic Kidney Disease
Cat,Sphynx,6.8,Female,5.4,licking genitals,lethargy,straining to urinate,,11 days,No,No,Yes,Yes,No,No,No,No,No,38.7°C,167,Feline Lower Urinary Tract Disease
Cat,Oriental,14.5,Male,4.0,weight loss,,,,157 days,No,No,Yes,No,No,No,No,No,No,37.8°C,137,Chronic Kidney Disease
Cat,Bengal,13.8,Male,4.4,drooling,bleeding gums,,,183 days,No,No,No,No,No,No,No,No,No,38.6°C,123,Dental Disease
Cat,American Shorthair,13.1,Female,4.7,increased thirst,,,,152 days,No,No,No,Yes,No,No,No,No,No,38.6°C,190,Chronic Kidney Disease
Cat,Maine Coon,4.9,Male,7.9,straining to urinate,urinating outside box,,,13 days,No,No,No,No,No,No,No,No,No,38.9°C,131,Feline Lower Urinary Tract Disease
Cat,Maine Coon,9.7,Male,6.6,hyperactivity,increased thirst,,weight loss,83 days,No,No,No,Yes,No,No,Yes,No,No,39.1°C,199,Hyperthyroidism
Cat,Oriental,11.0,Female,2.6,vomiting,poor coat,,,220 days,No,No,No,Yes,Yes,No,No,No,No,38.6°C,208,Hyperthyroidism
Cat,Siamese,3.8,Male,3.9,diarrhea,dehydration,dehydration,,2 days,No,No,Yes,Yes,Yes,No,No,No,No,38.8°C,165,Gastroenteritis
Cat,British Shorthair,9.0,Female,6.2,eye discharge,coughing,,lethargy,8 days,Yes,Yes,Yes,No,No,No,Yes,No,No,39.8°C,199,Upper Respiratory Infection
Cat,Siamese,11.8,Male,4.0,weight loss,poor coat,diarrhea,,132 days,No,Yes,Yes,Yes,Yes,No,No,No,No,38.4°C,140,Inflammatory Bowel Disease
Cat,American Shorthair,14.7,Female,4.0,lethargy,poor appetite,,,114 days,No,No,Yes,No,No,No,Yes,No,No,38.5°C,194,Chronic Kidney Disease
Cat,Birman,6.3,Male,4.1,licking genitals,,straining to urinate,,13 days,No,No,Yes,Yes,No,No,No,No,No,39.0°C,127,Feline Lower Urinary Tract Disease
Cat,Scottish Fold,7.6,Male,6.5,poor appetite,lethargy,,,169 days,No,No,Yes,Yes,Yes,No,No,No,No,38.0°C,158,Inflammatory Bowel Disease
Cat,Birman,5.8,Male,4.9,anemia,,,,262 days,No,No,No,Yes,Yes,No,No,No,No,39.2°C,145,Feline Leukemia Virus
Cat,British Shorthair,4.6,Female,5.4,difficulty eating,,difficulty eating,,56 days,No,No,Yes,No,No,No,No,No,No,38.7°C,180,Dental Disease
Cat,Ragdoll,11.2,Female,6.7,weight loss,diarrhea,,,79 days,No,No,No,Yes,No,No,No,No,No,39.5°C,239,Hyperthyroidism
Cat,Persian,0.5,Male,5.8,lethargy,,dehydration,,3 days,No,No,Yes,Yes,Yes,No,No,No,No,41.2°C,216,Panleukopenia
Cat,Ragdoll,8.1,Male,7.4,poor appetite,lethargy,,,65 days,No,No,Yes,Yes,Yes,No,No,No,No,38.1°C,166,Inflammatory Bowel Disease
Cat,Persian,6.7,Male,4.1,weight loss,gas,weight loss,,86 days,No,No,Yes,Yes,Yes,No,No,No,No,38.5°C,147,Inflammatory Bowel Disease
Cat,Russian Blue,4.7,Male,4.9,weight loss,,,,353 days,No,Yes,No,No,No,No,No,No,No,38.6°C,136,Feline Leukemia Virus
Cat,Bengal,11.0,Male,4.2,increased thirst,lethargy,lethargy,,246 days,No,No,No,No,Yes,No,Yes,No,No,38.6°C,173,Diabetes Mellitus
Cat,Mixed,12.8,Female,4.8,increased thirst,bad breath,increased urination,,119 days,No,No,Yes,Yes,No,No,No,No,No,38.4°C,174,Chronic Kidney Disease
Cat,Domestic Shorthair,8.2,Male,3.4,increased thirst,,lethargy,,38 days,No,No,No,No,No,No,No,Yes,No,38.3°C,127,Diabetes Mellitus
Cat,British Shorthair,12.3,Male,5.5,eye discharge,,lethargy,,9 days,Yes,Yes,No,No,No,No,No,No,No,40.4°C,168,Upper Respiratory Infection
Cat,Abyssinian,7.9,Female,3.4,pawing at mouth,,,difficulty eating,267 days,No,No,No,No,No,No,No,No,No,38.7°C,131,Dental Disease
Cat,Domestic Shorthair,6.5,Male,3.8,increased thirst,lethargy,lethargy,,316 days,No,No,No,No,No,No,No,No,No,38.6°C,151,Diabetes Mellitus
Cat,Birman,6.0,Male,4.1,weight loss,gas,weight loss,,161 days,No,No,No,Yes,Yes,No,No,No,No,38.7°C,138,Inflammatory Bowel Disease
Cat,Scottish Fold,4.6,Female,3.9,nasal discharge,appetite loss,eye discharge,,10 days,No,Yes,Yes,No,No,Yes,No,No,No,40.0°C,127,Upper Respiratory Infection
Cat,Domestic Shorthair,14.5,Male,4.7,increased appetite,,increased thirst,,34 days,No,No,Yes,No,No,No,No,Yes,No,38.2°C,122,Diabetes Mellitus
Cat,British Shorthair,6.2,Female,5.0,increased urination,,,,128 days,No,No,No,No,Yes,No,No,No,No,38.1°C,130,Diabetes Mellitus
Cat,Domestic Shorthair,1.8,Male,4.7,straining to urinate,lethargy,,,8 days,No,No,No,No,No,No,No,No,No,38.8°C,154,Feline Lower Urinary Tract Disease
Cat,Siamese,13.5,Female,3.7,eye discharge,,,,14 days,Yes,No,Yes,No,No,No,No,No,No,40.2°C,130,Upper Respiratory Infection
Cat,Abyssinian,9.0,Male,2.5,vomiting,poor coat,,,290 days,No,No,No,Yes,No,No,Yes,No,No,39.2°C,185,Hyperthyroidism
Cat,Sphynx,1.1,Male,4.1,vomiting,weakness,,,3 days,Yes,No,Yes,Yes,Yes,No,No,No,No,41.3°C,180,Panleukopenia
Cat,Sphynx,1.1,Male,5.7,severe diarrhea,dehydration,severe diarrhea,,4 days,No,No,Yes,Yes,Yes,No,No,No,No,40.7°C,219,Panleukopenia
Cat,Siamese,4.0,Male,4.7,lethargy,appetite loss,,,7 days,No,No,Yes,Yes,No,No,No,No,No,38.9°C,182,Gastroenteritis
Cat,Oriental,5.6,Male,4.6,labored breathing,,,,282 days,No,No,Yes,No,No,Yes,Yes,No,No,38.7°C,172,Asthma
Cat,Maine Coon,4.4,Female,8.0,poor appetite,,poor appetite,,166 days,No,No,Yes,Yes,Yes,No,No,No,No,37.9°C,151,Inflammatory Bowel Disease
Cat,Abyssinian,6.8,Male,3.4,licking genitals,urinating outside box,licking genitals,,3 days,No,No,No,No,No,No,No,No,No,38.8°C,164,Feline Lower Urinary Tract Disease
Cat,Bengal,5.1,Male,5.7,wheezing,open-mouth breathing,,,250 days,No,No,No,No,No,Yes,Yes,No,No,38.1°C,141,Asthma
Cat,Birman,6.4,Male,5.0,skin lesions,excessive grooming,red skin,,177 days,No,No,No,No,No,No,No,No,Yes,38.6°C,128,Skin Allergies
Cat,Oriental,4.3,Male,3.8,licking genitals,lethargy,,,8 days,No,No,No,No,No,No,No,No,No,38.4°C,135,Feline Lower Urinary Tract Disease
Cat,Siamese,4.8,Male,3.2,diarrhea,appetite loss,,,6 days,No,No,Yes,Yes,Yes,No,No,No,No,39.7°C,182,Gastroenteritis
Cat,Domestic Shorthair,14.5,Female,5.0,fever,lethargy,,,3 days,Yes,Yes,Yes,No,No,No,No,No,No,40.0°C,193,Upper Respiratory Infection
Cat,Oriental,8.2,Female,6.1,fever,lethargy,,appetite loss,6 days,Yes,No,Yes,No,No,No,No,No,No,40.3°C,195,Upper Respiratory Infection
Cat,Domestic Shorthair,3.7,Female,3.7,diarrhea,gas,,,167 days,No,No,Yes,Yes,No,No,No,No,No,38.6°C,172,Inflammatory Bowel Disease
Cat,British Shorthair,8.6,Male,3.6,hair loss,scabs,,,175 days,No,No,No,No,No,No,No,No,Yes,38.3°C,182,Skin Allergies
Cat,Persian,16.5,Male,4.1,weight loss,bad breath,,bad breath,84 days,No,No,Yes,Yes,Yes,No,No,No,No,37.6°C,200,Chronic Kidney Disease
Cat,Bengal,4.5,Male,6.0,bad breath,appetite loss,,,97 days,No,No,No,No,No,No,No,No,No,38.0°C,200,Dental Disease
Cat,Birman,0.7,Male,3.5,severe diarrhea,dehydration,,,5 days,Yes,No,Yes,No,Yes,No,Yes,No,No,40.2°C,200,Panleukopenia
Cat,British Shorthair,12.0,Male,5.2,increased urination,,,,72 days,No,No,Yes,Yes,No,No,No,No,No,38.5°C,195,Chronic Kidney Disease
Cat,Abyssinian,5.1,Female,3.1,chronic vomiting,,poor coat,,36 days,No,No,Yes,Yes,Yes,No,No,No,No,38.8°C,183,Inflammatory Bowel Disease
Cat,Ragdoll,15.3,Female,4.6,increased thirst,poor appetite,,vomiting,137 days,No,No,No,No,No,Yes,Yes,No,No,37.6°C,170,Chronic Kidney Disease
Cat,Russian Blue,9.8,Female,3.9,increased urination,,,,134 days,No,No,No,No,No,No,No,No,No,38.8°C,150,Diabetes Mellitus
Cat,Siamese,1.9,Female,3.8,nasal discharge,,lethargy,,10 days,No,Yes,No,No,No,Yes,No,No,No,40.3°C,123,Upper Respiratory Infection
Cat,Sphynx,13.8,Female,3.8,increased thirst,bad breath,,,175 days,No,No,No,No,No,No,No,Yes,No,37.5°C,125,Chronic Kidney Disease
Cat,Sphynx,9.8,Male,4.5,vomiting,,,hyperactivity,198 days,No,No,No,No,Yes,No,No,No,No,39.4°C,235,Hyperthyroidism
Cat,Domestic Shorthair,0.6,Female,4.7,severe diarrhea,,weakness,,5 days,No,No,No,Yes,Yes,No,No,No,No,40.0°C,214,Panleukopenia
Cat,Domestic Shorthair,19.4,Male,2.9,weight loss,,,,155 days,No,No,Yes,Yes,Yes,No,No,No,No,38.1°C,130,Chronic Kidney Disease
Cat,Scottish Fold,6.7,Male,4.8,straining to urinate,crying while urinating,,,7 days,No,No,No,No,No,No,No,No,No,38.4°C,133,Feline Lower Urinary Tract Disease
Cat,Bengal,5.2,Female,5.6,diarrhea,appetite loss,,,2 days,No,No,No,Yes,Yes,No,No,No,No,39.0°C,126,Gastroenteritis
Cat,British Shorthair,2.3,Male,4.7,diarrhea,,,,61 days,Yes,No,No,Yes,Yes,No,No,No,No,38.1°C,129,Inflammatory Bowel Disease
Cat,Siamese,13.6,Male,3.6,eye discharge,,sneezing,,12 days,Yes,Yes,Yes,No,No,Yes,No,No,No,39.6°C,198,Upper Respiratory Infection
Cat,Ragdoll,5.5,Female,8.5,straining to urinate,,,,14 days,No,No,No,No,No,No,No,No,No,39.1°C,184,Feline Lower Urinary Tract Disease
Cat,British Shorthair,7.3,Male,3.7,weight loss,,vomiting,,179 days,No,No,Yes,No,No,No,No,No,No,37.8°C,169,Chronic Kidney Disease
Cat,Domestic Shorthair,9.3,Male,4.5,weight loss,vomiting,weight loss,vomiting,66 days,No,No,No,No,No,No,No,No,No,37.8°C,187,Chronic Kidney Disease
Cat,Abyssinian,16.1,Male,2.7,hyperactivity,,,,132 days,No,No,No,No,Yes,No,No,No,No,38.6°C,190,Hyperthyroidism
Cat,Sphynx,8.5,Female,4.4,weight loss,,,,108 days,No,No,Yes,Yes,Yes,No,No,No,No,38.0°C,160,Inflammatory Bowel Disease
Cat,American Shorthair,7.9,Male,3.8,hair loss,excessive grooming,,,176 days,No,Yes,No,No,No,No,No,No,Yes,38.2°C,133,Skin Allergies
Cat,Persian,6.4,Female,4.4,poor appetite,poor coat,,,152 days,No,No,No,Yes,Yes,No,No,No,No,37.9°C,163,Inflammatory Bowel Disease
Cat,Sphynx,8.9,Male,5.6,vomiting,fever,appetite loss,,6 days,No,No,Yes,Yes,Yes,No,No,No,No,38.8°C,156,Gastroenteritis
Cat,Siamese,0.7,Male,4.1,vomiting,weakness,,weakness,6 days,No,Yes,Yes,Yes,No,No,Yes,No,No,41.3°C,196,Panleukopenia
Cat,Scottish Fold,2.9,Female,6.0,fever,,,,7 days,Yes,Yes,No,Yes,No,No,No,No,No,39.6°C,169,Upper Respiratory Infection
Cat,Sphynx,9.9,Female,4.0,pawing at mouth,bleeding gums,,,294 days,No,No,Yes,Yes,No,No,No,No,No,38.1°C,174,Dental Disease
Cat,Russian Blue,3.2,Female,5.5,eye discharge,appetite loss,sneezing,,11 days,Yes,Yes,Yes,No,No,No,No,No,No,39.9°C,138,Upper Respiratory Infection
Cat,American Shorthair,14.3,Male,3.7,weight loss,weakness,weight loss,,278 days,No,No,No,No,No,No,No,No,No,38.5°C,126,Diabetes Mellitus
Cat,Mixed,7.3,Female,3.8,anemia,poor appetite,poor appetite,,176 days,Yes,No,Yes,No,Yes,No,No,No,No,39.7°C,182,Feline Leukemia Virus
Cat,Domestic Shorthair,6.7,Female,4.7,anemia,poor appetite,,fever,74 days,Yes,No,Yes,Yes,Yes,Yes,No,No,No,39.2°C,170,Feline Leukemia Virus
Cat,Siamese,3.2,Male,3.9,licking genitals,urinating outside box,,frequent urination,13 days,No,No,Yes,Yes,No,No,No,No,No,38.5°C,172,Feline Lower Urinary Tract Disease
Cat,Domestic Shorthair,10.3,Male,2.9,increased thirst,,weight loss,,359 days,No,No,No,No,No,No,No,No,No,37.8°C,167,Diabetes Mellitus
Cat,American Shorthair,8.7,Female,2.7,weight loss,weakness,,,363 days,No,No,No,No,No,No,No,No,No,38.5°C,183,Diabetes Mellitus
Cat,British Shorthair,6.7,Female,5.8,wheezing,exercise intolerance,,,246 days,No,No,No,No,No,Yes,Yes,No,No,38.2°C,191,Asthma
Cat,Maine Coon,5.6,Female,5.6,anemia,poor appetite,,,297 days,No,No,No,No,No,Yes,No,No,No,39.1°C,158,Feline Leukemia Virus
Cat,Domestic Shorthair,8.8,Male,3.2,lethargy,,increased urination,,154 days,No,No,Yes,Yes,No,No,No,No,No,38.5°C,131,Chronic Kidney Disease
Cat,Sphynx,6.2,Female,6.2,sneezing,appetite loss,,,8 days,Yes,Yes,Yes,Yes,No,Yes,No,No,No,40.0°C,159,Upper Respiratory Infection
Cat,Domestic Shorthair,3.9,Male,4.6,abdominal pain,fever,abdominal pain,lethargy,3 days,No,No,No,Yes,Yes,No,No,No,No,39.2°C,135,Gastroenteritis
Cat,Russian Blue,11.9,Male,4.6,increased thirst,vomiting,poor appetite,increased thirst,59 days,No,No,Yes,Yes,Yes,No,No,No,No,38.4°C,154,Chronic Kidney Disease
Cat,Birman,4.8,Male,6.2,straining to urinate,,licking genitals,,5 days,No,No,No,No,No,No,No,No,No,38.7°C,150,Feline Lower Urinary Tract Disease
Cat,Russian Blue,13.6,Male,6.2,nasal discharge,appetite loss,,,7 days,Yes,Yes,No,No,No,No,No,No,No,40.2°C,174,Upper Respiratory Infection
Cat,Siamese,2.1,Male,3.4,weight loss,poor coat,weight loss,chronic vomiting,125 days,No,No,Yes,No,Yes,No,No,No,No,38.6°C,134,Inflammatory Bowel Disease
Cat,Birman,14.7,Male,5.6,fever,appetite loss,,,8 days,Yes,No,No,No,No,No,No,No,No,39.6°C,160,Upper Respiratory Infection
Cat,Domestic Shorthair,14.7,Male,5.3,sneezing,appetite loss,,,13 days,Yes,Yes,No,No,No,Yes,No,No,No,40.0°C,141,Upper Respiratory Infection
Cat,Bengal,3.8,Female,5.8,nasal discharge,lethargy,,,10 days,Yes,Yes,Yes,No,No,No,No,No,No,39.5°C,190,Upper Respiratory Infection
Cat,Siamese,13.4,Female,4.3,fever,lethargy,appetite loss,,10 days,Yes,Yes,Yes,No,No,No,Yes,No,Yes,39.9°C,157,Upper Respiratory Infection
Cat,Abyssinian,6.4,Male,2.4,increased appetite,,increased urination,,231 days,No,No,No,No,No,Yes,No,No,No,38.7°C,178,Diabetes Mellitus
Cat,Scottish Fold,9.7,Male,3.7,licking genitals,urinating outside box,lethargy,blood in urine,13 days,No,No,Yes,No,No,No,No,No,No,39.1°C,151,Feline Lower Urinary Tract Disease
Cat,Abyssinian,0.7,Female,3.2,lethargy,appetite loss,weakness,,6 days,No,No,Yes,Yes,Yes,No,No,No,No,40.8°C,224,Panleukopenia
Cat,Birman,7.8,Male,5.3,licking genitals,lethargy,,lethargy,2 days,No,No,Yes,No,No,No,No,No,No,39.1°C,157,Feline Lower Urinary Tract Disease
Cat,Scottish Fold,4.6,Male,5.0,diarrhea,fever,,,7 days,No,No,No,No,Yes,No,No,No,No,38.5°C,152,Gastroenteritis
Cat,Domestic Shorthair,10.0,Female,6.5,abdominal pain,fever,diarrhea,,2 days,No,No,No,Yes,Yes,No,No,No,No,38.7°C,194,Gastroenteritis
Cat,Persian,8.6,Female,5.7,drooling,bleeding gums,appetite loss,,323 days,No,No,No,No,No,No,No,No,No,38.3°C,164,Dental Disease
Cat,Ragdoll,4.3,Female,6.7,lethargy,fever,,,4 days,No,No,No,Yes,Yes,No,No,No,No,38.8°C,156,Gastroenteritis
